DOY2,HR2,FC,H,LE,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
5,12.75,3.251824,252.59545,328.880125,0.5777102,30.1973,99.160515,100,20.5936,7.178816,2.17384134872474,1.82257599029764,0.723416867925677
5,13.25,4.91730625,289.461025,302.5275,0.5808851,30.674,99.11804,100,21.388175,7.0392125,1.82865266838198,1.8319621134994,0.744041492409082
5,13.75,3.59135175,224.5609,353.45795,0.5920948,30.81285,99.070825,100,22.6027,7.758556,1.89475327149622,1.98956634143091,0.746843396168254
5,14.25,3.474947,235.074,312.7987,0.6266562,30.5086,99.1190575,100,23.2234075,8.406418,2.0524530305727,2.11951778062021,0.786157805310346
5,14.75,2.87774975,209.6516,320.1578,0.6318826,30.894975,99.0772775,100,22.0088225,7.9817,2.03129283977565,1.7906753696774,0.772837415768734
5,15.25,4.4916005,227.821,294.91965,0.569729,30.92555,99.03519,100,23.86018,7.31756,1.86694378132937,1.89844177858367,0.696979230219747
5,15.75,3.102176,200.643,253.058875,0.564690375,30.787325,98.997565,100,24.007235,7.58052675,1.78609015414004,1.61796722592967,0.711796274150325
5,16.25,4.76638099999998,173.99,270.0884,0.594288875,31.348825,98.9858175,100,23.5019325,7.51128975,1.89668738083234,1.82889745506446,0.692800496835435
5,16.75,3.437381,132.19485,215.30355,0.5817252,31.3641,98.9648075,100,24.52014,7.967212,1.90947564679577,1.59340810634497,0.738773996457492
5,17.25,2.937283,125.1264,180.870725,0.53834205,31.21205,98.9558675,100,25.093475,6.8814745,1.78370078596401,1.64283366153887,0.709568574917665
5,17.75,3.439016,83.9623375,182.055,0.5748033,30.679625,98.94177,100,23.37243,6.4610905,1.56016579347069,1.54752432898046,0.659100468217727
5,18.25,3.44311275,54.1647675,152.7826,0.55837375,29.81585,98.9338875,100,20.717375,6.196084,1.61597452948945,1.33197855311617,0.649110542629966
5,18.75,3.9729975,25.6339,120.402,0.537095,28.337925,98.92992,100,17.4139125,6.723245,1.95936015976945,1.50928367347943,0.68291558827648
5,19.25,21.162525,-1.13057,115.69332,0.540544,27.972675,98.934585,100,14.73155,6.33105875,1.5843873865558,1.37542967612068,0.662574314305703
5,19.75,4.97665775,6.0370095,100.13569,0.4921861,26.5722,98.941185,100,13.00578,5.981364,1.65008469721016,1.20178531313961,0.642037761312314
