DOY2,HR2,CO2,FC,H2O,SC,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT,TAU,USTAR,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,CO2_SIGMA,H2O_SIGMA
2,0.75,411.096,0.70083,4.05469,0.0137,-8.268035,1.92694,98.29425,85.5333,-0.2705,-4.8355,0.690093,244.615,279.864,-34.5373,-9.64824,-6.34313,-0.0363,0.158973,2.4663,0.1,-0.035,0.1,0.696210638,0.036300355
2,1.25,411.141,0.7576155,4.01577,0.0124,-7.57696,1.192495,98.2866,84.7141,-0.333,-4.871,0.6814175,249.0855,279.707,-33.0006,-9.692235,-6.45564,-0.0355,0.1546165,2.19348,0.1,-0.043,0.1,0.628891467,0.036418039
2,1.75,411.606,0.739096,4.01922,0.004175,-10.6014,2.05474,98.2764,85.3549,-0.52,-4.882,0.7209445,248.164,280.2345,-31.9299,-9.7746,-6.556,-0.0316,0.1588495,2.43392,0.1,-0.052,0.1,0.6610062925,0.036416685
2,2.25,411.154,0.761986,3.95887,0.00533,-10.05189,1.76052,98.23215,85.9142,-0.6735,-5.214,0.698892,247.545,279.672,-30.3672,-9.92858,-6.25987,-0.0357,0.168609,2.48633,0.1,-0.0715,0.1,0.697642088,0.0389883025
2,2.75,411.393,0.708415,3.959475,0.00833,-9.40122,2.03794,98.21855,85.43645,-1.13,-5.4685,0.71133,242.989,279.471,-32.2438,-9.78166,-6.25671,-0.03405,0.1732275,2.521885,0.1,-0.0735,0.1,0.631297322,0.0429801125
2,3.25,410.932,0.735653,3.883215,0.0047,-11.2719,1.83739,98.17765,85.5016,-1.413,-5.8695,0.6838405,240.52,276.582,-32.463,-9.76616,-6.61237,-0.0405,0.174039,2.630985,0.1,-0.1,0.1,0.700243903,0.0418572575
2,3.75,411.265,0.706686,3.85859,0.00811,-8.92065,1.78693,98.1466,86.1482,-1.435,-5.9475,0.5922155,242.526,276.788,-33.7192,-9.85221,-6.51925,-0.03965,0.172996,2.614135,0.1,-0.0985,0.1,0.671702698,0.0368781925
2,4.25,411.787,0.8215105,3.84684,0.00787,-8.25827,1.215525,98.1437,86.6185,-1.694,-6.114,0.5924065,245.3115,279.194,-32.1208,-9.881315,-6.614215,-0.0401,0.170763,2.6432,0.1,-0.1,0.1,0.719561167,0.042390441
2,4.75,411.949,0.713581,3.7353,0.0104,-8.32664,1.34078,98.2133,87.0796,-1.773,-6.059,0.57271,245.5645,276.8685,-33.12445,-10.2112,-6.796595,-0.0425,0.178551,2.71771,0.1,-0.0965,0.1,0.5865043475,0.037518826
2,5.25,412.016,0.673231,3.7803,0.0178,-7.96948,1.91568,98.1722,87.6547,-2.095,-6.199,0.543107,243.1185,276.868,-29.6388,-10.019865,-6.536125,-0.0369,0.175348,2.51358,0.1,-0.1,0.1,0.6917591775,0.038958136
2,5.75,412.794,0.6954305,3.80799,0.014,-9.11295,2.575745,98.1956,88.11215,-2.222,-6.212,0.546526,245.5385,276.942,-30.8871,-9.77127,-6.571485,-0.0445,0.186569,2.63287,0.0935,-0.1,0.1,0.6330031555,0.037354514
2,6.25,413.129,0.75755,3.81719,0.01365,-11.6336,1.870045,98.24315,87.9412,-2.0495,-6.1535,0.542474,247.1,276.968,-31.3284,-10.0519,-6.70039,-0.0513,0.1901635,2.687865,0.0615,-0.0985,0.0985,0.617350822,0.038619756
2,6.75,412.7895,0.7502565,3.850965,0.0119,-8.31675,1.99477,98.22505,87.7896,-2.2435,-6.257,0.519831,250.588,276.49,-28.0217,-9.36051,-6.48013,-0.055,0.1877105,2.953325,0.0515,-0.1,0.0815,0.628583695,0.038623786
2,7.25,413.208,0.740772,3.888855,0.011,-6.81101,1.97192,98.22765,87.7128,-2.0985,-5.991,0.5144405,246.192,277.858,-13.9319,0.111513,-3.68292,-0.0461,0.1843765,2.873825,0.007,-0.1,0.085,0.546279384,0.041679781
2,7.75,413.3475,0.907685,3.98557,0.01745,-6.199225,4.55059,98.25495,86.2677,-1.75,-5.5315,0.584099,252.948,278.586,10.0523,34.1766,9.62371,-0.0508,0.189624,3.144315,0,-0.1,0.0885,0.626004442,0.050634847
2,8.25,413.374,1.0245,4.0167,0.0103,1.68457,7.832565,98.29255,84.3552,-1.364,-4.8405,0.679116,252.741,280.175,26.8407,100.263,29.2015,-0.0626,0.206691,3.136215,0,-0.1,0.085,0.700933331,0.060780105
2,8.75,412.88,1.142715,4.073635,-0.0113,8.148865,11.8809,98.3218,81.5154,-0.555,-4.036,0.79133,255.542,286.15,61.5675,170.806,59.8205,-0.0789,0.230169,3.65289,0,-0.1,0.0885,0.6799588615,0.077089882
2,9.25,412.4275,0.929868,4.13183,-0.0126,14.80225,16.5058,98.3605,77.5674,0.069,-3.3585,0.984185,255.349,293.117,101.319,263.965,91.0554,-0.0795,0.2375255,3.933775,0,-0.1,0.09,0.699515603,0.091003089
2,9.75,411.746,0.789203,4.21735,-0.01985,22.4337,21.17715,98.3813,74.651,0.8585,-2.54,1.18708,255.317,294.579,127.132,346.311,135.653,-0.088,0.241733,4.216405,0,-0.1,0.095,0.710874059,0.097509516
2,10.25,410.8645,0.738491,4.255395,-0.0207,28.427,23.3945,98.3963,73.3974,1.724,-1.836,1.35601,258.376,297.796,146.361,442.286,152.634,-0.0905,0.2555315,4.164235,0.0015,-0.1,0.095,0.806037118,0.1124022955
2,10.75,410.6075,0.473636,4.44135,-0.017,33.9856,28.7825,98.3709,71.8928,2.002,-1.135,1.475025,261.272,300.537,170.129,518.583,174.869,-0.0955,0.2656555,4.10326,0,-0.1,0.0785,0.810344134,0.122836539
2,11.25,410.082,0.5295065,4.42614,-0.0277,35.5483,32.0249,98.35185,69.6316,2.4675,-0.9635,1.6928,264.3945,306.885,218.4335,583.191,186.36,-0.1024485,0.271746,4.050945,0,-0.1,0.0465,0.789869198,0.132097693
2,11.75,409.185,0.3388055,4.54005,-0.0227,42.329,32.0846,98.33745,68.9199,2.925,-0.557,1.85754,266.8885,308.1845,250.35,605.8555,198.8785,-0.116259,0.3017305,4.134235,0,-0.1,0.0435,0.85405425,0.139660861
