DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,G,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,TS_1_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,W_SIGMA,WS
1,14.75,382.674,0.8880118935,4.77581458925,0.0085806395,-5.7605499755,-0.13081915225,4.73425,72.8909553075,52.7402068925,98.8,27.4,14.839097165,0.2363462755,10.679656515,6.2606820975,12.145,11.52,-0.80953167325,1.0050462315,0.49427169,0.621536022,1.9135
1,15.25,382.2050433,0.71822871625,4.54408455725,0.00841245625,-5.1880891925,-0.058462355,5.03475,61.33478897,45.89597798,98.8,26.45,14.97789619,0.21928301575,10.926941795,6.38346215,12.13,11.405,-0.854805435,0.99891272275,0.491143812,0.6076826355,1.9805
1,15.75,381.657549075,0.457074789,4.428600654,0.007718932,-4.7600519965,-0.1771360955,4.70175,36.54611964,44.88292442,98.8,26.45,15.2632483225,0.1574556175,11.27962826,6.381747475,11.555,10.975,-0.7833304425,0.943385642,0.44985969,0.546346183,1.908
1,16.25,381.5909256,0.299318312,4.47070757775,0.007357344,-4.076886653,-0.187629175,3.44525,8.838684539,36.57654549,98.8,26.1465258825,15.3877859875,0.129450947,11.1516473625,6.42592697,11.53,11.195,-0.695174686,0.853231902,0.408947084,0.494460418,1.8045
1,16.75,381.76567525,0.1808941855,4.520958122,0.006923579,-2.69086096875,-0.322502804,0.6955,-6.0037591605,30.511286345,98.8,26.57871503,15.0414167775,0.102619261,10.84498239,6.26196199,11.265,10.95,-0.6377583045,0.76211146,0.3575466695,0.4391039665,1.687
1,17.25,381.56293625,0.10665031425,4.659222561,0.00517399725,-1.777767245,-0.3679196545,-2.1975,-23.26612713,19.484201045,98.8,27.1467184275,14.63036072,0.103272578,10.4780042525,5.8689910675,10.945,10.87,-0.471283054,0.58772918025,0.2473169975,0.30036645925,1.4685
1,17.75,381.70380495,0.13457493075,4.7535022805,0.003479162,-0.249173296,-0.42230738125,-5.15675,-39.48477471,9.7316986355,98.8,28.15388694,14.06037065,0.12917906475,9.98553158025,5.5533075725,10.57,10.76,-0.336734066,0.446336224,0.15602446275,0.1927976525,1.5255
1,18.25,381.9803496,0.197632174,4.740716909,0.001927259,0.022408311,-0.503839049,-8.3775,-41.507489365,5.5277812755,98.8,28.8,13.51358348,0.1422251025,9.29004242725,5.1601483375,10,10.5525,-0.2706682415,0.38716123075,0.125780436,0.16619257075,1.589
1,18.75,381.9394803,0.248709961,4.7989210735,0.001377446,0.061950367,-0.515004722,-10.845,-41.00450186,3.288869819,98.8,29.409455485,13.1027335875,0.13447101025,8.8258292305,4.8546385225,9.815,10.5025,-0.2390218615,0.37184367875,0.13252056925,0.1770262525,1.6675
1,19.25,382.2097733,0.32872681325,4.717910252,0.0011327225,0.09211781925,-0.60428513575,-13.4625,-44.31849253,0.615101734,98.825,30.3794541575,12.527825475,0.139373014,8.340860349,4.5264792175,9.6125,10.5625,-0.25381022225,0.3909420415,0.142872901,0.1874816015,1.7995
1,19.75,382.6577567,0.34972309275,4.451306843,0.001016312,0.134998778,-0.634918698,-15.69,-45.21643272,1.96306952625,98.9,31.8187068775,12.16575586,0.14254359525,7.8707066005,4.3615467225,9.45,10.575,-0.26488582075,0.437028464,0.15505880775,0.2046161185,1.808
1,20.25,383.39267955,0.3528627395,4.4862563695,0.00099529025,0.130756025,-0.623958578,-16.875,-42.1729773725,-0.0180674405,98.9,33.2495744725,11.73883169,0.143074253,7.540107668,4.38736327,9.5025,10.5375,-0.268466571,0.454450666,0.16545311825,0.2118941665,1.884
1,20.75,384.0993444,0.3337404095,4.642808107,0.0011796185,0.211098035,-0.698183444,-17.315,-41.766996325,0.528985885,98.9,34.05,11.56403142,0.13596203125,7.322890235,4.1361525375,9.425,10.6075,-0.2919650715,0.474758917,0.18170259175,0.217995697,1.899
1,21.25,384.433421925,0.360745791,4.521977209,0.001087442,0.2972616945,-0.63339879525,-18.635,-45.442213595,-1.04743529925,98.9,34.977846225,11.248128985,0.1357071945,6.9846660915,3.80803756,9.315,10.5775,-0.284889761,0.4585189335,0.1810461785,0.2272047055,1.898
1,21.75,384.72475705,0.33764,4.53934785025,0.00091052,0.227668789,-0.6803940285,-19.99,-45.74149576,-2.006167928,98.9,35.916149695,10.89700838,0.135862667,6.701615163,3.635674195,9.0775,10.365,-0.291732463,0.464149727,0.17213167375,0.203274287,1.852
1,22.25,384.7752432,0.34890715825,4.49757215,0.0007891725,0.26767934575,-0.575267348,-21.29,-41.960977465,-2.363451152,98.9,37.2849292725,10.7893197,0.13531258625,6.4381712435,3.443059425,8.905,10.185,-0.3149438895,0.4657977615,0.166304936,0.2112476785,1.89
1,22.75,385.3851992,0.3281877545,4.7600614275,0.000890703,0.403270414,-0.4636679495,-22.4675,-42.4090215725,-1.53871421425,98.9,38.077719985,10.5207003075,0.13019383575,6.16167462525,3.2258764525,8.7525,10.045,-0.27775104775,0.487308996,0.18943342775,0.241170445,1.87
