DOY2,HR2,USTAR,TA_1_3_1,WS,NEE,FC,SC,H,LE,G_1_1_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,H2O
3,16.25,0.47,22.9575,3.067,-3.8325,-3.9995,0.0115,104.787,77.5445,4.919,61.405,101.6,378.1475,11.465,225.45,749.5,390.3,15.575
3,16.75,0.467,22.695,2.971,-2.732,-2.758,0.012,68.623,58.6715,3.7545,62.745,101.6,378.6375,10.705,148.2,526.924,299.2,15.69
3,17.25,0.42,22.35,2.827,-1.428,-1.524,0.033,28.624,38.044,2.2755,64.8805,101.6,378.723,9.72,73.55,334.416,187.05,15.845
3,17.75,0.3725,21.275,2.5205,0.316,-0.147,0.062,-6.205,19.888,0.335,67.85,101.6,380.0315,8.395,7.55,140.55,85.25,15.72
3,18.25,0.313,20.555,2.1255,2.204,1.595,0.1195,-26.72,4.558,-1.006,71.5,101.6,381.725,7.3,-33.73,21.977,14.11,15.67
3,18.75,0.26,20.01,1.91,3.059,2.49,0.136,-32.249,0.239,-2.524,75.85,101.7,383.366,6.03,-48.95,0,0.177,15.734
3,19.25,0.246,19.725,1.79,2.9945,2.3315,0.0905,-32.6015,-1.212,-3.5505,78.35,101.7,384.101,5.47,-47.69,-0.2695,0.1675,15.882
3,19.75,0.244,19.71,1.731,3.024,2.5525,0.0675,-31.127,-1.2895,-4.3315,79.75,101.7,384.966,5.05,-44.57,-0.257,0.1595,15.701
3,20.25,0.24,19.485,1.646,2.921,2.499,0.044,-31.0855,-0.3,-5.373,80.9,101.7,385.406,4.58,-43.74,-0.242,0.1475,15.97
3,20.75,0.224,19.34,1.588,3.138,2.6875,0.032,-28.9185,-0.67,-5.9295,82.2,101.8,386.2,4.525,-41.525,-0.156,0.1525,15.95
3,21.25,0.216,19.025,1.551,3.25,2.4605,0.0205,-26.955,0.014,-6.768,83.3,101.8,386.15,4.21,-38.875,-0.23,0.133,15.631
3,21.75,0.199,18.947,1.499,2.948,2.45,0.048,-25.579,-1.515,-7.28,83.4,101.8,387.7745,4.2,-35.805,-0.092,0.135,15.325
3,22.25,0.186,18.745,1.463,2.953,2.4835,0.025,-25.88,-1.184,-7.55,83.9,101.8,388.467,4.12,-36.765,-0.0255,0.152,15.05
3,22.75,0.201,18.3775,1.529,3.0665,2.605,0.036,-31.472,-0.589,-7.98,83.75,101.8,388.326,4.195,-34.65,-0.016,0.1415,14.94
3,23.25,0.186,18.18,1.529,3.132,2.7325,-0.003,-33.171,-0.216,-8.2,85.15,101.8,388.886,4.08,-33.21,-0.016,0.1645,14.945
3,23.75,0.189,18.1,1.5045,3.0595,2.608,0.013,-31.48,-0.4595,-8.54,85.6,101.7,388.671,3.76,-31.15,-0.008,0.134,14.62
4,0.25,0.176,19.53,1.377,4.1035,3.502,0.026,-32.4745,0.36,-6.941,84.2,101.8,388.1935,4.07,-34.5,0,0.15,17.9435
4,0.75,0.171,19.455,1.33,4.039,3.208,0.064,-29.83,0.058,-7.4,83.8,101.8,388.535,4,-32.28,0,0.174,17.4415
4,1.25,0.159,19.15,1.278,4.051,3.374,0.073,-29.561,-0.304,-7.48,84.7,101.7,389.488,4.05,-30.53,0,0.172,17.503
4,1.75,0.1525,18.89,1.219,3.938,3.396,0.045,-27.72,-0.0565,-7.85,85.4,101.7,389.768,3.59,-30.34,0,0.151,17.2325
4,2.25,0.14,18.6085,1.2195,3.798,3.312,0.084,-27.867,-0.26,-8.13,86.1,101.7,393.175,3.39,-29.63,0,0.162,17.1715
4,2.75,0.13,18.6135,1.135,4.1025,3.449,0.024,-28.95,-0.546,-8.33,86.7,101.7,393.019,3.07,-27.53,0,0.17,17.265
4,3.25,0.1145,18.345,1.104,3.7685,3.33,0.073,-24.596,-0.731,-8.58,88.1,101.7,392.616,2.9,-25.67,0,0.155,16.952
