DOY2,HR2,TA_1_3_1,RH,TA_1_6_1,TA_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,T_BOLE_1_1_1,T_BOLE_1_1_2,T_BOLE_1_1_3,CO2_1_1_1,H2O,CO2_1_2_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_3_2,TA_1_4_1,TA_1_3_3,TA_1_2_1,TA_1_1_1,WS_1_1_1,NETRAD_1_1_1,NETRAD_1_1_2,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,SW_IN_1_1_3,SW_OUT_1_1_2,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_DIF,PPFD_OUT,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,PA,T_SONIC,WS_1_1_2,LW_IN,LW_OUT,RH_1_2_1,CO2_1_3_1,SG,WS_1_2_1,U_SIGMA,V_SIGMA,W_SIGMA,VPD,T_SONIC_SIGMA,NETRAD_1_2_1,PPFD_IN_1_2_1,SW_IN_1_2_1,SW_OUT_1_2_1,G_1_2_1,G_1_2_2,TA_1_6_2
1,10.25,5.06725,95.2475,4.8585,5.3795,4.408675,4.38945,4.48175,4.323025,0.02021,-1.185,-2.508,-0.944225,-1.776625,-0.25789,4.66375,4.25275,4.297,392.65,8.63727,415.05,0.293193,17.3135,10.039905,0.4811725,-0.0116415,2.13,2.11025,6.992625,0.6576,4.8705,5.494,5.801,6.2725,5.6325,1.62,75.9125,72.1675,137.3,134.175,30.32,153.3,26.59,241.5,284.15,152.3,18.833575,4.737675,4.893625,5.146475,5.886375,6.523175,100.7805,7.3817075,1.73,332.49275,337.78775,100,421.215,-0.5352245,1.4365475,0.771985,0.720977,0.395684,0.66011705075,0.312075,83.153425,258.608,134.455,16.91695,-2.791625,-0.7597255,4.32488
1,10.75,5.284825,95.0425,5.128,5.617,4.504,4.45815,4.505,4.4157,0.4072,-0.9338,-2.246,-0.669615,-1.5213,0.224755,4.888,4.461,4.44125,392.25,8.7231225,413.2,0.3179745,21.455075,22.8317,0.1392,0.0413319,2.82925,2.03963,6.3050625,0.2763,5.07,5.734,6.0765,6.2985,5.606,1.47875,87.645,100.8,151.825,173.475,36.38,186.975,32.2175,313.075,345.825,193.7,20.889575,4.73665,4.90305,5.16055,5.903675,6.53135,100.8,7.58094,1.6365,332.8405,338.72725,100,420.1945,-0.14441,1.4932725,0.809583,0.8015145,0.439458,0.7508720715,0.32528,105.918,312.1605,156.325,19.6802,-2.7678875,-0.71221725,4.5249075
1,11.25,5.57675,95.085,5.5715,5.9065,4.625975,4.523475,4.54,4.456675,0.7510375,-0.6692,-2.07135,-0.2649875,-1.219075,0.843005,5.42,4.7,4.69225,392.2,8.85162,414.15,0.335824,26.2775,30.3791,-0.219164,0.0829076,4.00725,1.878,5.6883525,0.04631,5.225,6.03475,6.3515,6.3995,5.8925,1.49,98.69,113.5,176.75,186.075,41.7325,192.65,33.465,353.275,377.325,207.6,21.8534,4.744325,4.90955,5.160025,5.903,6.53135,100.8,7.827735,1.771,333.6965,340.549,100,419.125,0.174829,1.632635,0.8551495,0.788555,0.4552225,0.842847,0.31945,127.499,361.78,185.7575,22.8245,-2.698665,-0.7598575,4.6555325
1,11.75,5.727,95.32,5.6585,6.083,4.738475,4.58595,4.63625,4.48855,1.29795,-0.343835,-1.93655,0.176995,-0.809565,1.374375,5.655,4.934,4.918,391.9,8.869,414.95,0.358232,30.0648,36.18465,-0.46303,0.0971556,4.5545,1.61275,5.14592,-0.041795,5.4025,6.208,6.349,6.456,6.041,1.57575,128.625,125.575,205.825,199.625,40.145,202.975,33.9825,390.4,401.7,222.55,22.91685,4.7545,4.912875,5.146475,5.899375,6.52925,100.7915,8.115,1.75975,334.2,341.0335,100,419.25325,0.552986,1.5381575,0.808635,0.791529,0.461207,0.901423,0.332387,141.122,360.7065,191.394,21.81895,-2.698675,-0.68856675,4.867
1,12.25,5.8365,95.05,6.0415,6.179,4.80675,4.639975,4.7315,4.53665,1.988,0.05281,-1.75665,0.5196,-0.439,2.063,5.7805,5.27,5.222,391.45,8.9245,411.775,0.35889575,29.80005,38.89375,-0.393986,0.151,4.828,1.28109,4.542,0.0199835,5.5405,6.262,6.6115,6.5225,6.22125,1.661,122.725,123.475,200.225,187.725,35.84,193.575,31.7475,376.575,389.225,230.475,23.12155,4.760275,4.909075,5.140425,5.893875,6.535125,100.75825,8.3692175,1.82725,334.6805,342.202,100,417.0405,0.830887,1.6558775,0.83342,0.822132,0.4867115,0.99522972225,0.335986,147.77275,415.15175,214.55,24.7335,-2.6993825,-0.66474075,5.061485
1,12.75,6.03275,95.0625,6.026,6.3915,4.881275,4.681075,4.82175,4.5668,2.262475,0.3434,-1.5345,0.80605,-0.1471,2.463125,5.973,5.46725,5.449,391.3,8.921025,412.05,0.3455435,29.93,41.44775,-0.5646315,0.149241,4.4145,1.12236,4.138835,-0.1858,5.5585,6.53525,6.6955,6.656,6.289,1.50575,149.675,121.775,211.375,187.3,34.3525,189.95,29.9275,382.375,369.55,224.75,24.09,4.764675,4.910025,5.131175,5.877275,6.50985,100.757,8.36003,1.739,335.112,342.484,100,417.8275,1.0157755,1.5954275,0.876156,0.830519,0.47902175,1.0472121655,0.358185,136.3995,397.907,202.637,23.4029,-2.42252,-0.61719725,5.136075
1,13.25,6.15425,94.8325,6.1545,6.409,4.94275,4.71435,4.9765,4.6034,2.6384,0.6622,-1.29985,1.0728,0.07524,2.723675,6.0745,5.66175,5.63425,391,9.065125,411.75,0.35117325,29.0234,40.673775,-0.5748,0.1918765,5.139,1.1667,3.52049,-0.210425,5.7075,6.704,6.875,6.8375,6.44925,1.59375,140.9,120.15,196.825,188.3,31.31,198.25,27.105,363.475,391.45,220.8,22.8646,4.8001,4.923,5.1152,5.862675,6.487925,100.735,8.52675,1.87725,334.95,342.85,99.9987,418.3075,1.18931,1.662605,0.86344075,0.80084675,0.476226,1.09876,0.33578575,135.944,391.855,205.349,22.2889,-1.91497,-0.59360375,5.1357425
1,13.75,6.18825,95.2125,6.312,6.382,4.9365,4.749525,5.0365,4.624575,2.74655,0.9842,-1.2045,1.340975,0.346605,2.9453,5.977,5.70675,5.742,391.4,8.9415,412.1,0.354888,24.37535,37.5078,-0.47895925,0.1775505,3.9535,1.1633475,2.6497575,-0.134925,5.6455,6.616,6.8305,6.853,6.455,1.629,87.685,104.425,184.45,178.475,30.91,190.5,25.4,346.825,369.55,185.6,20.173825,4.819775,4.9262,5.1119,5.84215,6.486725,100.73475,8.645495,1.8835,334,342.9,100,419.06875,1.1516625,1.64953,0.8655345,0.776382,0.4727565,1.24468753825,0.361489,123.595,368.498,189.93525,19.98395,-1.9150475,-0.664673,5.147115
1,14.25,6.06775,95.5075,6.2535,6.381,4.931875,4.759975,5.069,4.644975,2.798075,1.11275,-0.95091,1.5185,0.530535,3.07,6.04175,5.72675,5.73875,391.45,9.04,412.6,0.332391,20.32,29.9703,-0.1163,0.226937,3.33425,1.1217025,1.926,0.03528,5.6815,6.51925,6.7835,6.996,6.358,1.54175,73.37,77.485,147.675,144.925,28.245,149.875,23.3225,276.625,295.375,166.45,17.07025,4.855375,4.941875,5.103025,5.831025,6.468125,100.7125,8.62467,1.68375,335.077,342.46075,99.99935,418.88525,1.0418175,1.66191,0.8191,0.7857065,0.4489225,1.2471,0.287307,100.479175,305.1385,156.45025,16.737575,-1.9379175,-0.52224275,5.2347625
1,14.75,6.079075,95.3875,6.163,6.2205,4.931175,4.7854,5.087,4.659675,2.906225,1.2668,-0.8383,1.6225,0.654575,2.825,5.94475,5.748,5.7645,390.85,9.053,417.125,0.33418875,16.05195,18.07,-0.15245,0.191652,2.94225,1.067,1.18385,0.0772325,5.666,6.393,6.7495,6.82,6.30725,1.583,46.88,53.6775,101.95,109.4,20.4975,114.375,16.435,209.275,215.65,144.4,12.705,4.863925,4.950825,5.107675,5.819875,6.457675,100.7345,8.589,1.766,334.323,342.1945,100,418.222,0.923744,1.70779,0.8297655,0.7990355,0.458011,1.18224713475,0.2831645,72.993,248.039,132.64275,13.657275,-1.845645,-0.52224275,5.203535
