DOY2,HR2,USTAR_1_2_1,WS_1_2_1,FC_1_2_1,H_1_2_1,LE_1_2_1,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,SH_1_1_1,SLE_1_1_1,SC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,TA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,CO2_SIGMA_1_1_1,H2O_SIGMA_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
5,19.75,0.3745,1.6275,2.2775,-11.447,9.971,-0.0134,-7.15018,9.511335,2.67844,-6.25312,8.26478,1.31627,1.77126,0.385066,25.6973,23.7651,100.218,83.5764,12.09495,351.069,23.21375,0.82564,0.679571,0.439502,0.352465,0.0635,0.2650956585,8.60426125,0.8578785
5,20.25,0.4105,1.60075,3.17925,-10.0255,10.26175,-0.0198018,-7.0577675,9.159645,3.05528,-5.89641,6.689885,1.56843,1.7361675,0.372994,25.06735,23.090775,100.226,85.94805,10.3946,353.289,23.005,0.76959575,0.64822075,0.430008,0.39660125,0.08006975,0.2302146185,8.60426125,1.0125827
5,20.75,0.38875,1.6175,3.04275,-10.06,9.079,-0.016038125,-6.7176225,9.42562,3.01824,-4.1551475,8.1720625,1.826585,1.8013225,0.375009,24.445775,22.6138,100.256,90.03325,9.4218075,355.602,22.81325,0.79985025,0.6487275,0.433714,0.3208785,0.0871458,0.26087687,8.60426125,1.0569732125
5,21.25,0.41325,1.633,3.0845,-12.84825,6.93225,-0.015267,-6.4731475,7.1595,2.99593,-4.15428,6.107125,1.63064,1.7616975,0.35669425,23.931775,22.29875,100.28375,90.42755,8.7216425,357.624,22.72055,0.77215825,0.62827125,0.44796525,0.3374235,0.108611,0.23504053225,8.60426125,1.0894067
5,21.75,0.40475,1.66675,3.028,-12.255,6.5015,-0.0126,-6.1432275,7.994285,2.854125,-3.62619,7.354585,1.79493,1.718285,0.33629275,23.605,21.757375,100.295,94.66285,7.4975875,358.89025,22.563425,0.76560925,0.604122,0.398631,0.37462275,0.10789925,0.25607309325,8.60426125,1.0840791125
5,22.25,0.42925,1.7115,2.9415,-12.38525,5.30975,-0.024701725,-8.878895,6.48029,3.810815,-2.4997725,6.42489,1.63096,1.7530725,0.331193,23.269275,21.454075,100.29925,96.6293,6.63161,361.0805,22.5806,0.70640175,0.60485575,0.386927,0.352779,0.159025,0.250235467,8.60426125,1.0748523
5,22.75,0.392,1.59125,2.84475,-11.3305,3.81675,-0.017247675,-8.3045125,7.94076,2.99962,-0.5202475,6.88437,1.23081,1.654505,0.3157455,23.1718,21.1434,100.297,96.8482,6.18569,362.294,22.6277,0.6806365,0.570742,0.38676925,0.30482475,0.1002391,0.197302919,8.60426125,1.09208095
5,23.25,0.3585,1.5025,2.74575,-11.27525,3.819,-0.019925325,-7.4569275,5.823275,3.35803,-1.46009,5.7576225,1.2564275,1.7221475,0.3269175,22.852175,20.81905,100.29525,99.019675,5.7816475,363.7675,22.7948,0.7251725,0.5919275,0.4011355,0.30296975,0.112066,0.18202691925,8.60426125,1.0850505625
5,23.75,0.329,1.418,2.957,-12.135,2.816,-0.016584625,-5.48825,5.94789,3.40821,-2.2860125,4.13837,1.14058,1.6610575,0.31748275,22.62365,20.5946,100.286,100,4.91548,364.961,23.1411,0.6592365,0.56317575,0.3761135,0.2944145,0.124891,0.148155016,8.60426125,1.162537325
6,0.25,0.328,1.451,3.961,-8.553,6.533,-0.01126025,-4.395125,3.433375,4.514435,-1.32163,3.65217,1.73187,1.47463,0.286959,24.32745,21.981725,100.2245,100,0.982208,366.28275,27.7039,0.639635,0.4959725,0.33929675,0.239066,0.16962775,0.1546626195,3.94098675,1.0545871
