DOY2,HR2,CO2,H2O,T_SONIC,TA,PA,RH,VPD,WS,USTAR,TAU,H,LE,FC,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,SW_IN
1,14.25,394.656069,2.526210125,-13.6247383,-14.3562094,95.7028814,70.488563875,0,0.9283606,0.0608247,-0.220303825,-21.683984775,-11.52003625,-1.816172,0.294293,0.259241,0.0888942,0.0419658,0.0047252,0.15844995,25.1247145
1,14.75,391.6240315,2.55962155,-13.394903,-13.9625915,95.7203445,78.2656658,0,0.6467588,0.0414168,-0.221003,-22.272986575,-2.6163848,-1.1038535,0.2564534,0.2182048,0.0750046,0.0351958,0.005431,0.097445875,20.223497875
1,15.25,391.605573,2.65921735,-13.200556025,-13.4801345,95.725058,73.0608208,0,0.555839125,0.04646945,-0.19790415,-27.80111945,-11.80022645,-0.7264925,0.247096375,0.1977353,0.060462575,0.041950125,0.005477,0.132231,14.724356
1,15.75,391.83206565,2.6333393,-13.670262625,-14.9627333,95.7659422,76.23387445,0,0.894665075,0.045994225,-0.173405,-30.0233501,-4.1276493,-1.25362155,0.24287205,0.20716375,0.062223125,0.03775995,0.00602,0.11940365,10.144192125
1,16.25,392.132322375,2.6341306,-13.8865895,-15.051004375,95.85576925,63.890637,0,0.5324065,0.04332765,-0.174998575,-36.967771175,-2.0749276,-0.4606145,0.17372605,0.19574565,0.0498133,0.0375632,0.0053945,0.085014975,6.096958625
1,16.75,391.455363125,2.6449088,-14.415540375,-15.920099375,95.7097839,70.20440305,0,0.3532205,0.0286715,-0.150392875,-32.1209845,-4.75325465,-0.407158,0.132908125,0.108242125,0.03215,0.03939875,0.005911275,0.0650164,1.59045425
1,17.25,389.3308524,2.67998595,-15.02878095,-16.32358445,95.85439345,69.8256354,0,0.5376288,0.03455735,-0.170303,-35.836071125,-9.345610775,-0.3302933,0.13707975,0.1305371,0.032740375,0.03437595,0.00664655,0.08893195,-2.530719875
1,17.75,393.1944872,2.58115205,-15.8651372,-16.7484776,95.9636548,74.1126777,0,0.6229423,0.0330895,-0.16823715,-36.216490875,-5.8480262,-1.433115,0.16932825,0.12973495,0.03729625,0.03074775,0.0072932,0.0667303,-1.950353875
1,18.25,393.2744095,2.5652403,-18.0171933,-18.2371495,96.1927115,79.071414,0,0.634304925,0.029320325,-0.137417375,-32.8538718,-5.763251325,-0.791892,0.17004005,0.142348925,0.033075425,0.032352,0.00564,0.084437925,-1.961035625
1,18.75,393.99931505,2.620072475,-16.71916925,-17.7406276,96.212474,83.11795805,0,0.42889125,0.028309,-0.1472235,-30.3384312,-4.94880415,-0.68669365,0.1734971,0.1192438,0.03414115,0.03502675,0.0054162,0.0823344,-1.966704125
