DOY2,HR2,H,LE,FC,SH,SLE,SC,CO2,H2O,RH,VPD,WS,USTAR,LW_IN,LW_OUT,RH_1_1_1,NETRAD,SW_IN,SW_OUT,G_1_1_1,G_2_1_1,G_3_1_1,TAU,T_SONIC,TA,PA,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA
1,20.25,-20.6329,2.01191,1.2051485,-0.5665371,-0.341224,-0.0028116805,390.6243,16.17964,95.76766,0.6752669,1.9671085,0.1900789,341.227,384.7824,88.384235,-53.0661,-0.51021575,1.164806,-6.461303,-10.6376,-11.70319,-0.044173685,24.24063,14.50794,102.80875,0.54399425,0.46462525,0.244907061520955,0.2508266615,1.307472687,0.1417111207963
1,20.75,-17.448925,1.39821,1.157567,-0.50444195,-0.29991,0.02289167,391.2605,16.3513,95.5888,0.545972,1.950675,0.196264,340.8459,384.11305,88.4394,-52.03339,-0.516225,1.21477,-7.157941,-11.23825,-13.93825,-0.04819485,23.8535,14.039,102.82825,0.5189752,0.4088496,0.2638432,0.249905,1.18052074956013,0.1371347
1,21.25,-18.882,2.50889,1.2910275,-0.365496,-0.39344225,0.0176838,392.3259,16.3462,96.44043,0.4305183,1.859605,0.182219,342.4197,383.84755,88.47468,-49.56089,-0.488182,1.2788785,-7.92865,-11.613115,-14.58486,-0.040027,23.68599,13.90507,102.82825,0.474595617341753,0.429823251339116,0.2331858,0.2594753245,1.313291,0.1582613
1,21.75,-19.90396,1.3974955,1.43772,-0.3140001,-0.2590785,0.0056263,392.6135,16.31295,99.53958,0.050209505,1.9303765,0.18802355,344.8165,382.23395,89.870705,-48.733795,-0.6003545,1.2734635,-8.271305,-13.0936,-15.02431,-0.04384251,23.93922,13.76683,102.8399,0.5437502255,0.4518227595,0.2371301,0.24531975,1.433232,0.141407701
1,22.25,-23.869965,2.0285095,1.2659875,-0.3508786,-0.2411514,-0.000325397,392.876,16.2433,97.46855,0.2801348,1.947775,0.18818335,346.27665,382.00415,91.973345,-46.498715,-0.4429691,1.2912205,-8.8909545,-14.06695,-16.6825,-0.043192305,23.73565,13.738,102.8412,0.56244585,0.43184535,0.250413701727384,0.2626998,1.374358,0.1459287
1,22.75,-25.23735,4.9257045,1.232308,-0.22492465,-0.4723862,0.00269064,393.5633,15.6725,99.35839,0.0855908,2.03218,0.2044501,344.54,381.1079,91.96364,-48.890455,-0.4730154,1.117253,-9.6178155,-14.4068,-16.62872,-0.04953308,23.5075,13.669795,102.8496,0.56394365,0.4576648,0.26456955,0.2709411185,1.467208766,0.1838667
1,23.25,-23.6238,3.271099,1.21926,-0.4530537,-0.3361195,0.029014645,393.09585,15.449,97.36374,0.2335835,2.009445,0.2114825,343.878,381.29765,90.727945,-43.19785,-0.6770445,1.20905,-10.27387,-14.9127,-16.54969,-0.05689464,23.2395,13.731295,102.8556,0.5759270645,0.451595142,0.2775556,0.2417760075,1.366922,0.154884
1,23.75,-25.06005,1.934199,1.2451,-0.48657435,-0.444871,0.0228403,393.637,15.50821,97.38607,0.3228284,2.181603,0.2519815,341.63735,379.8235,91.101665,-46.641665,-0.537973,1.203935,-10.75021,-15.445165,-17.3651,-0.0789531,23.2,13.480535,102.846,0.6208049,0.47752695,0.30765865,0.2454344005,1.614371737,0.1549125
2,0.25,-13.99844,0.1364791,1.712,-0.256448,-0.6626245,0.011700565,389.5085,21.1349,99.882,0.0205795,1.85377,0.197262,366.038,400.237,95.232725,-39.84671,-0.5311051,1.2864,-4.837623,-10.46751,-8.4411245,-0.0475462,26.6716,17.35526,102.9187,0.495182,0.410728,0.2529949,0.2382462,1.5419865,0.14583005
2,0.75,-15.76664,0.8336345,1.6797785,-0.336695,-0.3666187,-0.0023251955,389.598,20.66741,99.8803,0.01929852,1.79783,0.184355,365.9771,399.435,95.64412,-37.1603,-0.6238195,1.19972,-4.706725,-10.6381,-8.230315,-0.0419267,26.58,17.228,102.916,0.5064464,0.3932811,0.2337447,0.2246082,1.534311,0.15661355
2,1.25,-14.724,0.696803,1.502831,-0.299471,-0.70635785,-0.008791846,389.445,20.428675,99.8801,0.02211557,1.83404,0.1965904,364.4215,398.294,96.196965,-36.1086,-0.616379,1.225,-4.17163,-10.5923,-5.3234495,-0.04725448,26.48155,17.05035,102.8997,0.4869977,0.3881752,0.2328133,0.2313216,1.459951,0.1441569
2,1.75,-14.83765,0.134265,1.6549195,-0.32617975,-0.604324,-0.002077621,389.652,19.8994,99.87305,0.02298762,1.7014975,0.164593,365.4514,398.26245,96.66844,-35.60025,-0.51450805,1.24246,-4.698401,-10.5819,-7.9315,-0.032670835,26.44141,16.81685,102.8723,0.4438276,0.3940906,0.2091326,0.23652855,1.796537,0.193677
2,2.25,-10.96689,-0.49434215,1.70343,-0.3145773,-0.712564,-0.00927793,388.719,19.54374,99.872045,0.02445121,1.61379,0.1371597,368.9435,398.988,96.787085,-32.45764,-0.388027,1.20333,-5.68804,-12.0119,-11.966515,-0.02276249,26.373,16.886,102.852,0.4024401,0.3839779,0.1717842,0.2356418,1.821803,0.16801035
2,2.75,-12.1937,-0.6067348,1.6162965,-0.197039,-0.3458375,0.02759447,389.4968,18.428,99.86643,0.02400636,1.63917,0.145086,368.517,399.206,96.881195,-28.2746,-0.4672925,1.141331,-6.44004,-12.1442,-13.416975,-0.0260215,25.922,16.503,102.8266,0.3765517,0.360734,0.1807307,0.2502341,2.3218495,0.1804768
2,3.25,-9.368826,0.5933838,1.580627,-0.2193335,-0.2926796,-0.018070235,389.839,18.3232,99.864685,0.02528709,1.63065,0.1353931,369.5729,398.988,97.152,-25.95244,-0.5110742,1.08776,-5.91639,-12.1466,-13.592315,-0.02210215,25.783,16.614,102.8153,0.3757613,0.3875732,0.167477,0.2562323,2.707468,0.1931914
2,3.75,-11.9649,-0.1790638,1.394045,-0.2868029,-0.299073,0.001360184,390.2684,18.8512,99.8699,0.0218563,1.60572,0.154969,369.2496,398.062,97.24094,-26.4955,-0.582041,1.10341,-6.57821,-12.1693,-14.27993,-0.0288991,25.618,16.556,102.816,0.4085338,0.3540254,0.1838148,0.2482591,2.635361,0.18796825
2,4.25,-12.5243,-0.652163,1.72958,-0.3037477,-0.3186971,0.00518455,390.4827,18.95607,99.86516,0.0233743,1.60983,0.1451455,368.3925,398.027,97.11923,-25.4471,-0.5957765,1.07692,-6.76077,-12.1619,-13.38534,-0.0258301,25.643,16.41078,102.8023,0.4214855,0.3524117,0.183845,0.2406913,2.471254,0.1798653
