DOY2,HR2,TA,RH,PPFD_IN,PPFD_OUT,WS,USTAR,TS_1,TS_2,T_SONIC,G_1,G_2,CO2,H2O,FC,LE,H
1,7.25,-24.836,74.959,-0.0044976,-0.004190925,1.075629,0.08122475,-3.6771,-3.8974,-28.70575,-11.82125,-21.69475,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,7.75,-24.738,75.558,0.10749,0.000643915,1.102786,0.08122475,-3.6839,-3.922325,-28.70575,-11.58975,-20.21175,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,8.25,-24.613,75.226,3.387425,2.7966,1.129943,0.08122475,-3.689175,-3.93735,-28.70575,-11.48675,-20.15975,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,8.75,-23.001,75.301,29.93475,23.632,1.1571,0.08122475,-3.698825,-3.9159,-28.70575,-11.876,-21.1655,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,9.25,-21.85,74.308,85.82775,67.17475,1.612825,0.08122475,-3.715975,-3.884475,-28.70575,-12.22025,-22.071,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,9.75,-21.084,74.086,148.145,129.57,3.904775,0.08122475,-3.711425,-3.8525,-28.70575,-12.256,-20.782,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,10.25,-19.907,72.673,220.38,175.25,4.3218,0.18405,-3.695125,-3.86935,-24.1295,-12.1145,-20.218,394.0379,0.46478,0.094769,-0.11237525,-10.73275
1,10.75,-19.709,71.989,292.2775,222.285,3.0959,0.121901,-3.682925,-3.86515,-23.58525,-12.144,-19.372,394.349075,0.6111875,0.033883,-0.50041,-9.571375
1,11.25,-19.883,72.096,336.985,273.5025,2.8227,0.13393,-3.684675,-3.834475,-23.474,-12.63975,-19.2565,394.5343,0.61234,-0.0096235,0.03430575,0.2492
1,11.75,-19.732,70.563,422.6875,311.9825,2.97765,0.154275,-3.677775,-3.86195,-22.325,-11.4945,-18.0725,394.390175,0.631115,0.010161,0.2664325,-4.89755
1,12.25,-19.264,69.154,450.0325,350.12,4.1597,0.17896,-3.678925,-3.83225,-20.821,-12.236,-17.684,394.19235,0.76445,0.0081009,0.851465,0.80548
1,12.75,-18.712,68.322,447.8725,318.3,3.6808,0.17055,-3.694075,-3.842,-20.731,-12.199,-17.2775,394.63395,0.8009275,0.06285175,0.75909,-1.10242
1,13.25,-18.904,68.427,415.3375,291.955,3.6535,0.1650125,-3.66675,-3.843175,-20.645,-12.54375,-16.6855,394.4997,0.8905375,0.0074362,0.59367,-1.7397
1,13.75,-18.725,69.036,399.245,259.17,3.94075,0.19594,-3.6478,-3.85705,-20.479,-12.726,-15.82,394.293375,0.85545,0.04110725,0.368725,-11.5448
1,14.25,-18.513,69.564,338.0225,226.66,3.8901,0.17667,-3.6587,-3.8187,-20.37125,-13.242,-16.77,394.3107,0.8855975,-0.01744025,0.69444,-5.6412
1,14.75,-18.71,70.119,275.1475,179.91,3.2031,0.1444325,-3.634875,-3.8742,-19.8955,-11.993,-15.479,394.1392,0.946695,0.0012472,0.28771,-4.68905
1,15.25,-18.868,70.9,219.9475,113.43,3.47605,0.15754,-3.62145,-3.8781,-20.928,-12.621,-16.0815,394.1468,0.9897475,0.03469,-0.1101315,-14.5764
1,15.75,-19.073,70.781,139.7325,65.952,3.1286,0.13917,-3.631575,-3.8701,-20.98475,-13.031,-15.685,394.1563,0.9161225,0.011896825,-0.30323,-17.21605
1,16.25,-19.236,72.829,70.264,17.92525,3.3923,0.1486925,-3.61685,-3.87015,-22.23875,-12.772,-16.0955,394.1965,0.82692,0.0366635,-0.8018575,-17.7626
1,16.75,-19.633,73.505,15.64075,1.020055,2.424075,0.0984455,-3.585175,-3.8657,-23.0295,-11.7315,-16.0325,394.27685,0.73529,0.049427,-0.758895,-16.29235
1,17.25,-19.719,74.671,0.7294925,0.026131,2.5484,0.08023,-3.60015,-3.8424,-23.4925,-12.586,-16.829,394.46615,0.74305,-0.00468285,-1.150125,-16.93475
1,17.75,-20.292,75.297,0.0245415,-0.0108072,3.165,0.05718025,-3.595975,-3.8674,-23.4295,-12.3075,-17.099,394.604,0.738435,0.037969,-0.380365,-16.530675
1,18.25,-21.029,75.468,0.00557795,-0.026421,2.94005,0.08621425,-3.5975,-3.8528,-23.92625,-12.188,-17.764,394.64575,0.724445,0.029046,-0.5455125,-16.78675
1,18.75,-21.494,75.519,-0.001139855,-0.02268875,2.98935,0.07981375,-3.5905,-3.859625,-23.8715,-11.83275,-17.43475,394.599975,0.6679525,0.01895525,-0.399505,-14.286675
1,19.25,-21.451,74.667,-0.000582475,-0.0207885,2.406825,0.017207,-3.54365,-3.8684,-24.1475,-12.197,-17.739,394.64395,0.77933,0.047568,-0.1051665,-13.596625
1,19.75,-21.722,74.6,-0.001415925,-0.012229,1.550575,0.01,-3.591025,-3.8675,-23.31225,-11.9675,-18.1425,394.4268,0.80039,0.0404261666666667,-0.266905,-10.9974
1,20.25,-21.643,74.801,-0.00333065,-0.008164125,3.4493,0.01,-3.5903,-3.8375,-24.154,-11.82225,-19.4475,394.20965,0.80039,0.0380788333333333,-0.266905,-10.9974
1,20.75,-21.596,73.623,-0.001406775,-0.014827,1.24045,0.01,-3.592625,-3.8559,-21.158,-12.237,-19.276,394.20965,0.80039,0.0357315,-0.266905,-10.9974
1,21.25,-21.684,73.518,-0.001998725,-0.0150385,0.99874625,0.01,-3.494275,-3.88235,-23.30875,-11.382,-18.496,394.20965,0.80039,0.0357315,-0.266905,-10.9974
1,21.75,-21.805,73.894,0.0012490475,-0.0063629,0.7570425,0.01,-3.600575,-3.85695,-18.4375,-12.65475,-19.43175,394.20965,0.80039,0.0357315,-0.266905,-10.9974
1,22.25,-21.616,74.291,0.0003330175,-0.01134475,1.5623,0.01,-3.603275,-3.8218,-18.69,-12.50025,-20.38375,394.20965,0.80039,0.0357315,-0.266905,-10.9974
1,22.75,-21.735,74.749,-0.00583045,-0.00901065,0.615445,0.01,-3.51225,-3.90625,-18.69,-11.332,-18.86,394.20965,0.80039,0.0357315,-0.266905,-10.9974
1,23.25,-21.897,75.65,-0.00266575,-0.0140796,0.72783,0.01,-3.528525,-3.91225,-18.69,-11.87975,-18.92525,394.20965,0.80039,0.0357315,-0.266905,-10.9974
1,23.75,-22.38,75.832,-0.0003079175,-0.0098184,0.72783,0.01,-3.540925,-3.918475,-18.69,-12.4845,-19.44,394.20965,0.80039,0.0357315,-0.266905,-10.9974
2,0.25,-23.186,69.736,0.0014124,0,0.749745,0.08122475,-4.2451,-3.9316,-20.865,-12.685,-16.6,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,0.75,-23.502,68.828,0.00023288,6.3815e-05,0.749745,0.08122475,-4.2418,-3.84715,-20.865,-11.063,-14.5335,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,1.25,-24.177,71.479,0.001963755,0,0.749745,0.08122475,-4.15235,-3.2867,-20.865,-11.24325,-14.97475,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,1.75,-24.671,71.378,0.00084846,0,0.776902,0.08122475,-4.33785,-3.46625,-20.865,-10.88175,-17.863,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,2.25,-24.236,70.831,0.00128166,0.00038593,0.804059,0.08122475,-4.2263,-3.3674,-20.865,-10.988,-13.944,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,2.75,-24.084,71.229,-0.001148615,0.00033838,0.831216,0.08122475,-4.3325,-4.223175,-20.865,-11.88175,-14.85675,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,3.25,-24.034,71.724,0.0011654,0.000511655,0.858373,0.08122475,-4.13375,-3.82935,-20.865,-11.7955,-14.62,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,3.75,-23.687,72.059,-0.00234655,0,0.88553,0.08122475,-4.2629,-3.536325,-20.865,-12.00775,-15.569,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,4.25,-23.541,71.486,0.0025128,8.00375e-05,0.912687,0.08122475,-4.2614,-3.335325,-20.865,-11.6715,-13.67075,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,4.75,-22.831,70.41,0.00434275,0,0.939844,0.08122475,-4.2709,-3.260625,-20.865,-9.859875,-12.86125,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,5.25,-23.008,71.017,-0.000765495,0,0.967001,0.08122475,-4.2611,-3.257225,-20.865,-8.5359,-12.692,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,5.75,-23.977,70.931,0.001014915,0.00016053,0.994158,0.08122475,-4.1611,-3.35365,-20.865,-11.8515,-15.71,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,6.25,-24.426,72.696,-0.000715625,0.05793625,1.021315,0.08122475,-4.16105,-3.397275,-20.865,-11.2075,-14.39575,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,6.75,-24.61,71.818,0.000150255,6.1165,1.048472,0.08122475,-4.2429,-3.32145,-20.865,-11.005,-14.4805,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,7.25,-24.669,71.061,0.092,32.416,1.075629,0.08122475,-4.1558,-3.6839,-20.865,-10.653,-15.28525,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,7.75,-24.578,68.991,3.91175,124.9325,1.102786,0.08122475,-4.3315,-3.29055,-20.865,-11.5955,-14.76925,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,8.25,-23.622,67.472,38.308,181.445,1.129943,0.08122475,-4.2619,-3.6939,-20.865,-12.372,-17.8805,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,8.75,-21.69,67.774,123.415,320.2075,1.1571,0.08122475,-4.2517,-3.68895,-20.865,-12.16,-17.74125,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,9.25,-20.607,67.256,220.555,523.09,1.612825,0.08122475,-4.18195,-3.2724,-20.865,-10.368,-15.606,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,9.75,-20.479,65.689,314.525,636.145,1.0206,0.08122475,-4.17755,-3.431125,-20.865,-10.4345,-15.427,398.189475,0.96396,0.094769,-0.2455725,-5.4129
2,10.25,-19.665,64.832,408.4,724.32,3.01155,0.021178,-4.3395,-3.4672,-19.378,-10.476,-15.643,398.584275,1.2431625,0.094769,-0.2455725,0.49424
2,10.75,-18.908,63.475,513.68,632.8125,1.6678,0.075579,-4.22775,-4.04265,-18.129,-11.31675,-14.83375,399.234,1.3621,-0.069972,-0.25353,0.79892
2,11.25,-18.607,66.074,599.34,717.495,1.9319,0.065164,-4.16195,-3.4055,-17.639,-10.6785,-13.2635,399.144,1.3322,0.013642,0.49579,1.7029
2,11.75,-18.529,62.671,704.725,782.525,1.8845,0.07290175,-4.22245,-3.74105,-17.44825,-13.3855,-15.8135,397.2149,1.1726,0.056031,0.44217,1.1105
2,12.25,-18.393,59.732,723.42,721.98,1.78475,0.092631,-4.23535,-3.3191,-16.512,-11.249,-14.633,397.03245,1.2894,0.0545675,0.58751,1.1575
2,12.75,-17.971,58.704,790.39,792.48,1.93945,0.099477,-4.23445,-3.8001,-16.371,-14.4145,-15.434,397.2449,1.1658,0.078721,0.67051,1.8812
2,13.25,-17.824,58.574,778.19,748.4875,1.99665,0.11276,-4.1922,-3.45775,-16.178,-13.939,-15.25425,397.2749,1.1312,0.056558,0.20126,0.042253
2,13.75,-17.527,57.09,790.465,666.785,2.62245,0.10436,-4.2517,-3.68675,-16.103,-13.266,-12.013,397.2849,1.1747,0.031475,0.6304,-1.9196
2,14.25,-17.559,57.112,732.115,477.445,2.5037,0.09919,-4.295575,-3.299875,-15.994,-10.0267,-12.31225,397.3748,1.1249,0.019841,0.17342,-9.2006
2,14.75,-17.454,58.304,684.39,344.77,2.960725,0.10711,-4.159625,-3.387075,-15.796,-13.247,-13.56975,397.3648,1.1389,0.056522,-0.33825,-12.7937
2,15.25,-17.349,57.99,561.125,256.6725,2.1919,0.094512,-4.175725,-3.489525,-15.944,-12.67975,-10.6315,397.6947,1.1486,-0.041874,0.048109,-12.8664
2,15.75,-17.633,58.461,387.495,128.875,1.85845,0.031962,-4.131175,-3.3838,-16.066,-10.9875,-11.46125,397.8746,1.1818,0.0072794,-0.0014605,-13.9959
2,16.25,-18.153,60.126,262.3425,42.371,1.55465,0.014295,-4.240175,-3.489975,-16.188,-11.317,-9.4847,397.4448,1.1958,-0.0547975,-0.050814,-11.6357
2,16.75,-18.96,61.751,140.665,10.738,1.2801,0.016124,-4.234825,-3.4229,-16.437,-11.4425,-11.9975,397.5747,1.2112,0.023676,0.032679,-13.1325
2,17.25,-19.668,64.422,51.7915,0.088034,1.8874,0.01,-4.15215,-3.71945,-16.728,-12.8285,-12.372,398.3144,1.225,0.0082923,-0.12957,-8.4836
2,17.75,-20.195,65.367,6.037375,0.001014525,1.05039,0.01,-4.070875,-3.459775,-17.847,-11.88225,-12.786,398.6767,1.1543475,0.001351225,-0.3662875,-10.72455
2,18.25,-21.047,69.287,0.1475425,0,1.2412,0.01,-4.207775,-3.474,-19.078,-10.0485,-9.65055,398.779175,1.07935,-0.0304070875,-0.2237,-20.051
2,18.75,-21.748,67.816,0.01289525,0,1.1888,0.01,-4.0805,-3.3415,-20.2225,-9.3241,-9.7358,401.1331,0.95694,0.031297,-0.28836,-13.341725
2,19.25,-21.944,68.488,0.00880485,9.6595e-05,1.02565,0.013578,-4.15355,-3.61825,-20.27175,-10.271,-13.114,400.9632,1.02106,0.0427735,-0.0839465,-16.161375
2,19.75,-21.743,67.898,0.01522625,0.0003694775,1.550575,0.044701875,-4.16045,-3.347925,-14.392125,-12.537,-13.92825,400.315975,1.809145,0.0404261666666667,-0.4904275,-18.0844375
2,20.25,-22.538,68.109,0.00593725,0.00016061,0.805685,0.043166,-4.149025,-3.3354,-21.45,-12.646,-14.0015,399.66875,1.109165,0.0380788333333333,0.04593775,-17.898325
2,20.75,-22.748,69.931,0.004867225,0,1.24045,0.063846,-4.3135,-3.39935,-21.158,-10.65745,-12.971,400.3859,0.98527,0.0357315,-0.17731,-21.0157
2,21.25,-22.54,71.525,0.00729485,0.0003219,0.99874625,0.045671,-4.26065,-3.3667,-14.7797375,-11.788,-12.223,400.3859,1.0629575,0.0357315,-0.316645,-13.872425
2,21.75,-22.151,72.459,0.005043625,0.00032198,0.7570425,0.027496,-4.327475,-4.0848,-18.4375,-9.5888,-15.012,400.3859,1.140645,0.0357315,-0.45598,-6.72915
2,22.25,-22.603,73.669,0.0049416,0.00329425,1.5623,0.01,-4.218775,-3.39775,-18.69,-10.7798,-11.198325,400.3859,1.140645,0.0357315,-0.45598,-6.72915
2,22.75,-22.379,72.344,0.003811025,0,0.615445,0.01,-4.2195,-3.589,-18.69,-11.65675,-16.208,400.3859,1.140645,0.0357315,-0.45598,-6.72915
2,23.25,-22.963,70.645,0.0036181,0.0003377625,0.72783,0.01,-4.224425,-3.370975,-18.69,-10.5084,-13.098,400.3859,1.140645,0.0357315,-0.45598,-6.72915
2,23.75,-22.949,71.166,0.00053284,0,0.72783,0.01,-4.280125,-3.9885,-18.69,-10.1671,-14.6605,400.3859,1.140645,0.0357315,-0.45598,-6.72915
3,0.25,-15.782,78.131,0.003078525,0.00070053,1.7519,0.11855675,-2.055525,-1.483675,-7.858725,-5.094525,-30.08675,398.16445,2.537025,0.090154,-0.19594,-18.239875
3,0.75,-15.962,79.315,0.002163425,0,1.3804,0.1046375,-2.0519,-1.4927,-7.425875,-5.350325,-40.5465,398.2494,2.85175,0.128975,-0.38971,-13.7533
3,1.25,-16.133,78.627,0.00249665,0,2.1392,0.107655,-2.077575,-1.226,-7.55185,-13.281,-35.349,397.3898,2.9713,0.1228825,-0.59802,-14.52215
3,1.75,-16.459,78.725,0.00333,0,1.643775,0.126,-1.98155,-1.86785,-8.1248,-6.6198,-24.2095,396.8351,2.969425,0.11944,-0.4194925,-18.873525
3,2.25,-16.756,78.818,0.00346745,0.000964925,1.088175,0.124,-1.982925,-2.181025,-7.7223,-6.74785,-13.114775,396.999975,3.0727,0.17314,-0.61763,-13.00835
3,2.75,-17.01,77.895,0.0046547,0,1.28915,0.09607125,-2.0387,-2.2335,-6.230025,-3.3885,-11.933,397.1749,3.1373,0.1983975,-0.4478825,-11.49055
3,3.25,-17.278,76.05,0.003496025,0,2.148725,0.14574,-2.027875,-1.6124,-5.9464,-7.936525,-28.0605,397.015,3.1247,0.21604,-0.33564,-12.6417
3,3.75,-17.115,76.588,0.002081375,-0.0002389725,2.440825,0.12301,-2.031025,-2.190875,-6.09845,-4.58335,-8.887325,397.1774,3.181,0.1684675,-1.390665,-27.346175
3,4.25,-17.512,76.607,0.003741375,-6.4285e-05,2.732925,0.1744,-2.0239,-1.178875,-5.2435,-6.451675,-9.278775,397.2349,3.5645,0.168495,-0.44833,-26.8629
3,4.75,-17.384,76.434,0.0020871,6.425e-05,0.6996,0.13914,-2.0181,-2.1154,-6.74445,-6.74135,-26.797,397.075,3.32615,0.200915,-0.84962,-41.2887
3,5.25,-17.241,76.536,0.003664,0.026743,1.5592,0.0888345,-2.023575,-2.259825,-6.7994,-6.6466,-13.5585,397.1849,2.962975,0.1714725,-0.41747,-11.143325
3,5.75,-17.343,76.514,0.00630765,1.27075,1.3601,0.078177,-2.022675,-1.14235,-6.3021,-6.63195,-17.31,397.932025,3.20805,0.147635,-0.38802,-14.351
3,6.25,-17.168,72.878,0.0323555,7.83945,2.74945,0.062906,-2.0288,-1.251425,-5.569,-25.86925,-44.16825,398.0945,3.2187,0.2059325,-0.15854,-3.4767
3,6.75,-16.704,69.803,2.215975,18.27525,3.6017,0.067309,-2.0169,-2.0495,-5.1883,-10.282925,-12.27875,398.1345,3.169625,0.2060625,0.09593,-2.9569
3,7.25,-15.508,66.751,31.129,34.89,3.020125,0.127375,-2.028,-1.9973,-4.677225,-7.2092,-5.7393,397.6447,3.2313,0.2649525,1.4385375,-0.5964975
3,7.75,-15.212,60.459,97.849,34.674,2.7913,0.11691,-2.0156,-1.570075,-4.98095,-3.6065,-0.581355,396.985,3.2239,0.2659175,3.855875,4.13305
3,8.25,-14.802,56.082,216.2,58.42775,2.6707,0.101328,-2.0031,-2.078425,-4.6713,-4.144225,-0.97328,396.760125,3.18675,0.239145,0.020213,-0.0905065
3,8.75,-14.528,54.219,367.8525,71.132,1.850925,0.153335,-2.019325,-1.91275,-4.26755,-6.381,-2.9449,396.1554,3.180875,0.38094,2.986875,3.522575
3,9.25,-13.875,54.423,466.0375,59.02825,2.5422,0.12995,-2.0183,-1.632175,-4.329,-1.81875,0.58715,396.3953,3.26545,0.13409,1.17533,2.9424
3,9.75,-13.647,50.1,535.4325,96.969,2.8572,0.184225,-2.015725,-1.4757,-4.0482,-1.7512,0.69619,396.190375,3.631825,0.08631875,1.52955,4.6828
3,10.25,-13.272,49.202,663.7075,95.1545,1.7013,0.133015,-2.0301,-2.1698,-3.387375,-1.7582,0.270895,395.990475,3.6077,0.27836,0.36118,3.44015
3,10.75,-13.007,52.623,815.9925,111.83,2.5658,0.14447,-2.05485,-2.2696,-3.0458,-3.0157,-0.61501,396.0255,3.869025,0.11425,1.482925,5.794025
3,11.25,-12.423,51.255,919.285,101.1765,3.37915,0.095677,-2.041275,-1.1654,-2.4698,-1.80495,2.15878,395.9655,4.007,0.168475,1.495675,3.3195
3,11.75,-11.904,52.32,991.02,109.14,2.493925,0.20739,-1.97615,-1.315,-2.227675,-1.8503,0.58781,395.8755,3.865,0.2143175,1.77894,5.5996
3,12.25,-11.538,53.445,994.215,106.9,2.5823,0.13863,-1.95405,-1.4683,-2.0184,-1.30862775,1.74955,395.8056,3.855,0.12389875,1.398975,5.8348
3,12.75,-11.071,53.557,1023.4,102.66,2.5796,0.16291,-1.963375,-1.4685,-1.9658,-1.6882,0.60342,395.7106,3.892425,0.19256,0.695475,1.984625
3,13.25,-11.332,51.569,942.48,85.1655,2.167125,0.14643,-1.962925,-1.7037,-2.286875,-1.54135,0.996085,395.6756,4.0857,0.127145,3.91465,4.3557
3,13.75,-11.354,50.76,905.04,76.217,3.2738,0.14584,-1.95645,-1.2121,-2.085075,-0.6922,1.5531,395.5557,3.8923,0.19055,3.040475,-2.2657
3,14.25,-11.185,51.881,937.515,66.98,4.349675,0.158365,-1.9417,-1.15135,-1.982,-0.36625,2.03409,395.4557,3.7428,0.22083,1.37175,1.27537
3,14.75,-11.289,54.436,738.32,55.15025,4.1401,0.1184025,-1.951,-1.3719025,-2.0073,-1.2233,3.736775,395.4107,3.80025,0.13865,1.0707775,-4.8534
3,15.25,-11.206,55.332,716.775,51.336,2.9793,0.11543,-1.945,-1.4771,-2.0565,-0.93251,0.64593,395.2558,3.825825,0.13492,0.7987975,-6.0086
3,15.75,-11.212,56.807,610.98,36.4915,3.6096,0.128965,-1.923,-1.1471,-2.534325,-1.001525,0.85076,395.1559,3.541425,0.12981575,0.535945,-7.1543
3,16.25,-11.593,55.817,450.355,34.582,3.00675,0.137985,-1.9444,-2.24325,-2.8221,-2.1872,-8.89305,395.0459,3.4225,0.12357,0.44497,-11.4026
3,16.75,-11.88,57.803,327.305,10.684,3.040725,0.13362,-1.94315,-0.51087,-3.33815,-0.56004,-8.7283,395.1209,3.352275,0.09104875,0.3022,-19.4207
3,17.25,-11.739,60.662,213.375,6.1262,2.6066,0.12507,-1.94445,-1.1939,-3.48175,-1.3995,-17.578,395.288325,3.408925,0.0337975,0.038777,-17.7543
3,17.75,-12.002,57.905,96.1015,0.922135,3.0553,0.10429,-1.9299,-2.0332,-3.45865,-2.2961,-25.404,395.663125,3.36965,0.10074925,0.100988,-21.365425
3,18.25,-12.217,66.073,22.6045,0.0181025,1.849275,0.092483,-1.95735,-1.703275,-4.2032,-2.808125,-50.65125,395.813075,3.189375,-0.0141415,-0.36458,-20.4494
3,18.75,-12.625,69.557,1.23405,0,1.5718,0.0794935,-1.99805,-2.2936,-4.934,-4.3813,-44.06,396.1054,3.102625,0.072028,-0.70779,-21.714575
3,19.25,-12.977,69.622,0.026086,0.001659,1.66995,0.07444425,-1.95695,-1.6389425,-5.328375,-7.39785,-29.0805,396.450275,2.97665,0.074637,-0.427005,-23.260875
3,19.75,-13.182,69.008,0.00648745,-0.000257225,1.550575,0.07940375,-1.98675,-0.638445,-5.472,-0.6090935,-13.01435,396.737625,2.8179,0.095626,-0.71395,-25.171475
3,20.25,-13.585,71.526,0.00512555,-0.00050825,1.8764,0.058129,-1.98685,-1.09965,-5.72535,-7.6713,-41.606,396.902575,2.745775,0.10717,-0.29558,-28.772625
3,20.75,-13.927,74.478,0.0071519,0,1.497775,0.10155975,-1.99075,-0.47469,-5.98895,-3.8944,-28.627,397.3473,2.8855,0.092911,-0.9120575,-27.5678
3,21.25,-14.163,74.124,0.0051578,0,2.25525,0.11277,-1.99645,-1.2951,-6.250725,-3.4126,-24.49,397.622225,3.007175,0.08962075,-0.26159625,-23.292075
3,21.75,-14.093,75.457,0.00532345,0,1.94665,0.1072,-2.01145,-1.1561,-6.4479,-3.8135,-36.2,397.055,2.983,0.057468,-0.37239,-24.4271
3,22.25,-14.087,76.301,0.0031618,0,1.346975,0.088205,-1.99995,-1.54595,-6.354,-4.25005,-34.674,397.02745,2.9678,0.16291,-0.2229125,-26.5399
3,22.75,-14.198,76.767,0.00415795,0,2.19035,0.098363,-2.00305,-2.1153,-6.5226,-4.9671,-26.18,397.232375,2.8918,0.23797,-0.7102425,-15.4204
3,23.25,-14.37,76.882,0.00297775,0,1.4185,0.10307,-1.96805,-2.0819,-6.7468,-6.4787,-8.4104,397.54975,2.912,0.1357915,-0.2626575,-12.5722
3,23.75,-14.504,78.086,0.0053247,0,2.1672,0.11110425,-2.0038,-1.3859,-7.1472,-4.8997,-22.753,398.0445,3.27245,0.176485,-0.368905,-20.505975
4,0.25,-0.948905,65.492,0.01075475,-0.02004225,1.6307,0.036841,-0.2436525,-0.09432825,2.3095,-16.815,-22.207,396.0155,4.0715,-0.0358515,-0.27401,-34.3733
4,0.75,-0.790435,67.914,0.0079293,-0.02496225,1.671275,0.047658,-0.24179,-0.062942,2.08565,-16.236,-18.504,396.18535,4.1085,0.14608,-0.42752,-29.2582
4,1.25,-0.77374,67.959,0.01068025,-0.02710375,1.40515,0.015971,-0.2406775,-0.04401175,1.7952,-15.092,-19.526,396.08545,4.0209,0.23203,-0.72765,-29.9945
4,1.75,-0.927815,69.654,0.01114775,-0.02490775,1.266825,0.01863425,-0.2368525,-0.04932,1.37085,-14.812,-20.051,396.3503,4.03455,0.1638075,-0.4452625,-27.404525
4,2.25,-0.916855,71.0775,0.0097779,-0.0236185,1.215275,0.02330525,-0.234085,-0.0485905,1.2646,-11.472,-18.681,396.700125,4.1683,0.05716,-0.541525,-26.30275
4,2.75,-1.09189,71.435,0.010141475,-0.02304525,1.239,0.0162515,-0.23522,-0.0590115,0.826795,-11.218,-16.246,395.8555,4.07345,0.14312,-0.48737,-22.8678
