DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1
1,20.25,0.164,-3.45475,1.15775,0.531,0.111,-0.0725,-35.0045,-0.646,-7.26625,1.73725,51.575,100.9,397.09,1.2425,-61.42,-0.01125,-0.027,0.614,231.675,293.7
1,20.75,0.159,-3.80575,1.12725,0.5925,0.098,-0.089,-34.4225,-0.4805,-7.4025,1.70625,52.5425,100.801,397.0385,1.1675,-62.115,-0.0065,-0.0755,0.605,228.175,291.55
1,21.25,0.158,-4.109,1.11625,0.614,0.112,-0.1365,-34.47175,-0.4085,-7.476,1.699,53.075,100.801,397.4495,1.0475,-61.385,-0.012,-0.06025,0.6,232.1,291.05
1,21.75,0.1555,-4.12925,1.12225,0.632,0.062,-0.09925,-35.00375,-0.5945,-7.60625,1.69125,53.415,100.8,397.55275,0.9575,-60.815,-0.00625,-0.04225,0.69325,227.7,289.825
1,22.25,0.1525,-4.54475,1.1455,0.51725,0.086,-0.16425,-35.4575,-0.471,-7.76375,1.69025,54.965,100.801,397.8945,0.9425,-60.805,-0.01375,-0.0775,0.80125,226.675,289.025
1,22.75,0.155,-4.831,1.1215,0.5475,0.1625,-0.1025,-34.83625,-0.37275,-7.87325,1.6765,55.35,100.801,397.8175,0.86,-60.675,0,-0.08825,0.70375,227.95,287.95
1,23.25,0.153,-5.125,1.13325,0.564,0.1195,-0.20875,-34.76525,-0.581,-7.945,1.67825,55.7125,100.801,398.761,0.84,-60.905,0,-0.1,0.709,226.325,286.775
1,23.75,0.14475,-5.3365,1.13875,0.5385,0.217,-0.20975,-37.958,-0.49325,-8.02775,1.67725,55.825,100.801,398.743,0.83,-60.1225,0,-0.083,0.6,226.075,285.15
2,0.25,0.144,-3.82875,1.13625,0.65375,0.20775,-0.176,-35.8075,-0.50325,-6.53825,1.6275,54.68,100.8,396.247,0.98,-63.58,-0.019,-0.0715,0.35125,231.275,293.925
2,0.75,0.148,-4.015,1.1525,0.699,0.217,-0.18625,-38.21425,-0.29675,-6.56825,1.5975,55.1375,100.8,395.897,0.9375,-62.655,-0.02825,-0.0765,0.4475,230.8,294.125
2,1.25,0.1425,-4.348,1.146,0.626,0.225,-0.256,-36.293,-0.3395,-6.73,1.59475,55.9025,100.8,396.322,0.9125,-63.5425,-0.02675,-0.1,0.5,230.425,293.525
2,1.75,0.149,-4.54125,1.09975,0.605,0.1405,-0.29625,-37.40225,-0.59,-6.82,1.59425,56.9,100.8,396.38425,0.8275,-63.0925,-0.02025,-0.097,0.5,230.375,292.125
2,2.25,0.155,-4.58975,1.08375,0.651,0.286,-0.24175,-38.444,-1.045,-6.91725,1.584,58.7925,100.8,396.77325,0.7775,-63.38,-0.048,-0.1,0.5,230.8,290.75
2,2.75,0.1525,-4.67225,1.10175,0.59725,0.2155,-0.25275,-38.235,-0.8325,-7.02625,1.595,58.1,100.75,397.207,0.7575,-61.9575,-0.037,-0.1,0.7,230.325,290.05
2,3.25,0.156,-4.7925,1.17125,0.393,0.19,-0.309,-36.17,-0.72375,-7.0685,1.585,58.5225,100.7,397.283,0.7275,-62.03,-0.00525,-0.1,0.7,228.85,289.85
2,3.75,0.1565,-4.9925,1.14825,0.653,0.275,-0.19625,-38.179,-0.45475,-7.11925,1.5755,59.285,100.7,397.37025,0.7075,-62.6875,-0.003,-0.1,0.617,229.55,289.475
2,4.25,0.153,-5.08025,1.131,0.623,0.182,-0.1445,-39.235,-0.71675,-7.163,1.5735,59.835,100.75,397.2975,0.69,-61.915,-0.02225,-0.1,0.6,227.9,289.25
2,4.75,0.1685,-5.2165,1.16775,0.58825,0.226,-0.2815,-38.9715,-0.686,-7.24725,1.5655,60.2125,100.8,397.032,0.6675,-61.4925,-0.00125,-0.1,0.61575,228.45,288.025
2,5.25,0.1535,-5.221,1.1045,0.542,0.237,-0.222,-37.152,-0.3205,-7.2695,1.5605,60.81,100.8,397.133,0.6275,-60.6175,-0.0075,-0.1,0.7,226.95,287.85
