DOY2,HR2,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_7_1,TS_1_8_1,TS_2_1_1,TS_2_2_1,TS_2_9_1,TS_3_1_1,TS_3_3_1,TS_3_4_1,TS_3_7_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_4_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,5.25,0.0305535214971933,0.00822732053318802,-0.0103781332656344,-0.116686261464279,0.064963289506249,0.086831436961985,-5.0325854120289,-1.63865488964017,0.441553542203661,408.922605712955,3.60440388191332,418.841218952768,2.73745682091988,414.383717551282,418.514485949597,2.67837039643555,413.48566968932,417.838380297059,2.56063382909975,413.217155321429,415.678968389851,2.47824343926376,411.240532224409,1.63062308581489,-0.375537658452344,0.372465919135569,1.11,0.77,0.29,-0.3768,-0.7435,-1.6827,-2.7391,-4.3351,87.10511,55.52,2.3664,-4.72,-2.865,-3.445,1.8,-2.93,3.6,0.34,229.45,297,230.1,292.75,0.01,-0.25,0.05,0.3,-0.015,-0.09,-0.15,-0.335,-0.643,1.1865,4.9075,6.832,8.843,13.821,13.6845,0.2125,2.2045,15.5485,1.1405,6.44,7.2475,11.6185,17.015,0.195,1.973,5.246,6.68,10.239,15.659,0.744,2.1025,8.636,-41.6905,-27.936,-24.583,-59.43
1,5.75,0.0231468296295873,0.0120668709547723,0.0422880155292477,-0.326962393099597,-0.0685821059448936,0.0828154443671739,-5.10551191456757,-0.815274286037499,0.420113967026432,408.760349091484,3.67985686639098,418.656578772144,2.71513703519818,414.347073604952,419.369916046327,2.54120532258575,413.330856010673,417.670940614832,2.35752670243695,413.265803604502,412.851320572381,2.32706363103306,411.925417033333,1.72488608297155,-1.13804540267506,0.429125552371279,1.11,0.76,0.28,-0.60645,-1.564,-2.122,-3.2993,-4.5046,87.12462,56,2.2224,-4.74,-3.475,-3.605,1.8,-2.99,3.6,0.36,228.8,294.75,228.1,292.1,0.01,-0.25,0.05,0.3,-0.02,-0.1,-0.15,-0.265,-0.8865,1.014,4.7095,6.7615,8.8465,13.819,13.685,-0.0045,2.0445,15.5465,1.0865,6.2675,7.152,11.614,17.014,-0.037,1.879,5.089,6.564,10.246,15.6565,0.4545,1.895,8.513,-39.772,-27.44,-24.1365,-58.64
1,6.25,0.00442999115110004,0.00711755766803017,0.0336729695882012,-0.186934812871248,0.0626343996281017,0.0874344309690742,-3.65992653371241,-1.03658803970719,0.468437061506532,408.992004658676,3.61880496177002,419.104670404902,2.66311182098085,414.491595533981,418.990419696472,2.56774559260846,413.347029723351,417.006691038518,2.51255985306926,413.564199017087,413.377422281624,2.40587957528531,412.629055319218,1.51983564547012,-1.18372901927407,0.372746873543472,1.09,0.72,0.27,-1.1269,-1.5795,-2.0799,-3.1712,-4.8004,87.15033,55.37,1.9748,-5,-3.6,-3.755,1.8,-3.02,3.6,0.46,226.95,294.05,228.15,290.4,0.01,-0.25,0.05,0.3,-0.03,-0.09,-0.15,-0.265,-1.241,0.6535,4.6035,6.659,8.85,13.8175,13.684,-0.228,1.838,15.5435,0.733,6.0855,7.058,11.611,17.012,-0.2035,1.7285,4.925,6.48,10.2515,15.654,0.215,1.6845,8.4035,-40.726,-27.366,-24.0065,-60.585
1,6.75,-0.00625520471947482,0.00666950155934691,-0.0327948572103978,-0.125403011275137,-0.0473833373346722,0.0900051031211037,-4.81805968881047,-0.519961242644108,0.438487481279749,408.990969606272,3.53065393349901,418.992921400104,2.63998845106405,414.223165869504,419.056266701572,2.54465763587947,413.626971016287,418.733416601539,2.50408539602516,413.688887841451,414.33472529091,2.34894260063136,412.526422648154,1.47045958066302,-1.43920206401092,0.415310831355698,1.16,0.75,0.26,-1.1642,-1.7925,-2.1878,-3.3227,-4.4968,87.16988,56.85,1.9675,-5.53,-3.77,-4.24,2.1,-2.55,3.85,0.61,227.35,292.4,227.7,288.8,0.63,0.695,0.675,0.76,0.125,0.315,0.435,0.19,-1.3895,0.5055,4.49,6.545,8.853,13.816,13.682,-0.4555,1.599,15.5415,0.5385,5.9345,6.9545,11.61,17.0105,-0.389,1.5555,4.7895,6.356,10.2585,15.652,0.031,1.483,8.3005,-41.377,-27.268,-23.924,-60.3
1,7.25,0.0108932760546478,-0.00899660211293878,-0.0148133301802423,0.157048568612647,0.123712326531507,0.0811386016835955,-3.8643790485705,0.0499194938481721,0.465714227694297,407.926321141708,3.50802105471492,418.945121022729,2.60500163081438,413.668654048767,418.542314702698,2.49157588311819,412.931117012097,418.650251599277,2.30249883923763,413.262763054125,415.054174200935,2.32424049341869,412.226092327922,1.46958661640821,-1.46414319697027,0.377969787711191,1.12,0.77,0.26,-1.0967,-1.854,-2.6606,-3.6258,-5.0398,87.19158,58.375,1.8705,-5.52,-3.765,-4.19,10,13.14,14.4,6.16,226.3,292.65,227.6,289.85,26.225,25.955,26.785,23.685,5.855,14.41,19.795,15.715,-1.5625,0.2765,4.3335,6.431,8.855,13.8145,13.6735,-0.7595,1.3755,15.54,0.2215,5.7645,6.8255,11.635,17.0095,-0.5455,1.3765,4.628,6.241,10.2525,15.65,-0.099,1.2905,8.1955,-40.376,-27.664,-24.5955,-52.12
1,7.75,-0.0568188472201466,0.0556156680180749,-0.0190617643052879,-0.116758515222161,1.01353298513257,0.0970672148313713,-4.26057198218399,9.81785288913087,0.426280751751822,407.913320042449,3.61995563980996,419.105530418306,2.54983030938955,413.907100158065,418.501011003036,2.58102065642631,413.326606650407,418.377024016809,2.48692118937918,413.553462351075,415.127882630742,2.60770903342111,412.049986053571,1.28460582453157,-1.18076363861511,0.435334791611596,0.97,0.68,0.34,-0.9682,-1.463,-1.6841,-1.8171,-2.4453,87.21081,57.775,1.9268,-3.95,-2.795,-2.34,27.9,85.86,70.6,25.585,227.45,302.85,228.7,301.45,137.17,141.37,151.01,133.985,33.525,60.38,112.64,92.715,-1.643,0.097,4.187,6.3195,8.8505,13.813,13.678,-0.842,1.229,15.5375,0.2895,5.5605,6.6945,11.6015,17.008,-0.6,1.2175,4.4855,6.1315,10.2465,15.647,-0.1275,1.1925,8.143,-37.719,-27.677,-24.2725,-6.65
1,8.25,-0.0511817278940307,0.111243579541487,-0.0139254790827814,4.2505121765097,1.34939119828308,0.140186297066281,24.4111365849812,13.1082110588048,0.45688248612491,408.134817254166,3.76331302880702,419.567347993747,2.71591006798234,414.309131398714,419.438685949364,2.74390190799633,413.533251866667,419.360283598469,2.73921542571529,414.132235974359,414.880055214665,2.77424620979578,412.795792556553,1.32634919628464,0.163702486456628,0.704666354030857,1.1,0.93,0.57,0.5955,0.0595,0.4638,0.8482,0.7762,87.23144,52.105,2.6701,-0.77,-0.67,0.435,39.7,182.36,162.15,47.03,229.55,318.75,232.3,320.65,343.68,349.97,374.96,294.17,67.725,153.3,275.825,239.46,-1.1585,0.257,4.084,6.215,8.845,13.812,13.659,-0.6115,1.2125,15.5355,1.4435,5.5005,6.5805,11.608,17.0065,-0.1005,1.2975,4.39,6.027,10.2385,15.644,0.4195,1.375,8.075,-28.357,-25.426,-22.138,45.69
1,8.75,-0.0694483161753081,0.0818266213979247,-0.0531771997501733,5.80479519347061,0.875037400691188,0.192322423773706,50.3726090573724,9.85067356887389,0.546281254811473,408.905209046654,3.85340506210951,420.208448586315,2.95671214314685,414.635421614754,420.379768702577,2.95695591098544,414.71775443871,419.987930620239,2.93430315337419,414.827485278061,415.215043397256,2.88664351016792,412.808832766667,1.98397144923034,2.43195859485712,0.569946836404373,1.725,1.4,0.865,2.86645,2.51,2.62375,3.09245,3.2033,87.25819,45.81,3.56735,2.88,2.51,4.86,45.9,284.475,263.5,66.92,233,334.2,237,340.8,570.38,573.26,601.68,521.94,100.01,295.74,473.37,392.39,0.173,0.874,4.0745,6.125,8.844,13.8095,13.665,0.0515,1.36,15.533,3.492,5.5335,6.49,11.601,17.005,0.825,1.816,4.3745,5.9335,10.229,15.6405,1.71,1.997,7.993,-13.152,-21.534,-19.75,111.19
1,9.25,-0.0331585507898073,0.0341085355900874,0.0390892150313211,8.21614083189018,0.750763543922536,0.228646914598052,87.5193052851551,7.50300079181888,0.635228395650984,409.426485738656,3.90385209705973,420.095740119439,3.15650917017051,415.025022061093,420.703654721753,3.1255333137909,415.141283156352,420.984527070054,3.16155385763712,415.008479,415.644791371739,3.11542115053298,413.217038483974,2.33320015348916,4.34563857998336,0.582344016439851,2.02,1.625,1.005,4.4506,4.304,4.7833,5.1515,5.5645,87.265165,41.83,4.2674,6.005,5.755,9.43,52.6,380.575,356.8,82.53,236.3,349.7,241.3,358.6,754.7,758.79,790.205,728.755,129.43,479.45,672,559.86,2.133,2.043,4.1965,6.0545,8.829,13.808,13.652,0.9545,1.943,15.531,5.74,5.679,6.4675,11.6,17.004,2.298,2.552,4.393,5.8565,10.218,15.638,3.162,2.775,7.9125,9.236,-13.8985,-15.728,175.095
1,9.75,-0.0497341187223862,0.0153941810086144,0.0934172102585219,9.26609043344533,0.483131931867267,0.252253955710005,115.916754573429,7.33077590592533,0.719597278966919,410.562777422081,4.04251901518294,421.716520099214,3.14649323151412,415.43076683492,421.313250503233,3.14908587765989,415.453865655948,420.633829623643,3.21802951928319,415.337010397436,416.785180568244,3.14529691162236,413.528028806152,2.30491059679057,5.62949515527771,0.607334516326659,2,1.66,1.05,5.7911,5.859,6.14515,6.4484,6.9276,87.27936,38.14,5.1461,9.145,8.98,14.49,57,464.39,348.8,98.72,238.3,364.4,244.8,378.7,918.98,921.545,950.39,902.43,154.68,644.68,854.51,720.24,4.39,3.452,4.401,6.0085,8.825,13.808,13.6595,2.1655,2.6055,15.529,7.62,5.92,6.47,11.609,17.003,3.654,3.4355,4.4585,5.797,10.2055,15.6365,4.43,3.685,7.864,24.22,-7.522,-10.872,231.395
