DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,CO2_1_8_1,FC_1_1_1,SC_1_1_1,TAU_1_1_1,H_1_1_1,H_1_1_2,LE_1_1_1,G_1,SH_1_1_1,SLE_1_1_1,SG_1,SG_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_2_1,RH_1_2_1,VPD_1_2_1,TA_1_3_1,RH_1_3_1,VPD_1_3_1,WS_1_1_1,USTAR_1_1_1,T_BOLE_1,T_BOLE_2,T_BOLE_3,TS_1,TS_1_1_1
1,11.75,393.8725,394.0875,394.5325,394.685,394.2225,394.525,396.31,397.575,0.058,-0.198,-2.28,100.69,79.825,18.9775,-2,-0.798,-0.62575,-0.513,-0.11875,265.845,37.4975,184.07,279.12,179.585,514.35,34.02,69.4275,-8.6725,33.135,1.005,-8.195,30.58,1.13,-8.17,34.61,0.9655,3.06,0.552,-8.25,-7.35,-7.845,-2.23,-0.74175
1,12.25,389.005,389.01,389.5425,389.8725,389.125,389.425,391.375,393.96,0.034,-0.124,-2.26,110.31,92.08,18.99,-2,-1.595,-0.519,-0.512,-0.10125,295.4,39.6,185.43,279.19,195.84,543.945,35.055,69.4075,-8.605,33.2975,1,-8.14,30.9,1.14,-7.79,35.105,0.9755,3.09,0.558,-7.855,-6.9675,-7.6625,-2.23,-0.74
1,12.75,393.82,394.085,394.4,394.46,394.215,394.42,396.11,397.3475,0.048,-0.097,-2.335,113.32,94.115,18.77,-2.01,-1.89,-0.516,-0.19,-0.10325,283.37,38.55,186.15,279.77,193.89,543.1375,34.33,69.39,-8.55,33.64,1.025,-8.07,30.78,1.1575,-7.825,34.355,1.03,3.1,0.56375,-7.42,-6.765,-7.1475,-2.23,-0.74025
1,13.25,389.0775,389.0375,389.945,390.0875,389.1325,389.47,391.3425,394.025,0.01625,-0.082,-2.42,113.66,98.655,16.94,-2.01,-2.29,-0.56075,-0.3315,-0.112,290.51,39.2,186.97,279.92,192.715,541.7775,32.94,69.385,-8.4,33.42,1.005,-8.025,30.45,1.13,-7.8875,34.83,1.01,3.015,0.5725,-7.08,-6.6075,-6.9725,-2.23,-0.74
1,13.75,393.915,394.07,394.51,394.6475,394.07,394.4,395.97,397.675,0.109,-0.04375,-2.41,100.07,90.455,15.2,-2.01,-3.295,-0.61275,-0.318,-0.118,265.84,35.32,187.77,279.12,168.5,489.4775,30.375,69.36,-8.36,33.45,1.01,-8.0675,30.4375,1.12,-7.98,35.91,0.97825,3.1275,0.5795,-7.03,-6.44,-6.79,-2.23,-0.736
1,14.25,389.025,389.09,389.66,389.92,389.295,389.425,391.54,394.3,0.069,-0.02375,-2.38,81.2,65.795,13.43,-2.01,-4.155,-0.60325,-0.3005,-0.112,217.44,30.3,185.96,279.09,134.165,406.6725,26.845,69.37,-8.455,34.34,1.01,-8.04,31.55,1.1025,-8.1,36.115,0.95475,3.03,0.535,-6.9325,-6.5125,-6.5925,-2.225,-0.733
1,14.75,393.8275,394.0275,394.3075,394.3875,394.2075,394.3875,396.09,397.6975,0.029,-0.004,-2.3475,57.94,47.895,10.745,-2.0025,-5.075,-0.63825,-0.3035,-0.116,168.15,24.66,185.52,277.8,96.79,313.38,21.31,69.39,-8.495,34.72,0.961,-8.2975,32.2875,1.0425,-8.3875,36.99,0.905,2.8725,0.51,-6.95,-6.675,-6.6125,-2.235,-0.735
1,15.25,389.2125,389.2575,389.6425,389.8675,389.51,389.87,391.82,394.44,0.049,0.00775,-2.32,37.47,26.81,8.5575,-2,-5.635,-0.784,-0.164,-0.098,118.6,17.45,184.1475,275.715,57.4,224.105,14.625,69.39,-8.8,35.34,0.924,-8.655,33.5375,1.0225,-8.69,39.23,0.8735,2.72,0.4835,-7.1225,-6.8625,-6.7125,-2.33,-0.735
1,15.75,393.935,394.1675,394.5,394.6075,394.155,394.8175,396.37,398.1,0.097,-0.043,-2.31,1.1775,-1.7975,6.72,-2.0025,-6.7325,-0.655,-0.12,-0.101,73.6,10.76,182.3775,273.7025,20.02,140.4425,9.01,69.41,-9,36.075,0.9035,-9.22,34.28,0.95575,-9.15,40.97,0.805,2.6,0.4565,-7.3225,-7.27,-6.8925,-2.305,-0.732
1,16.25,389.09,389.22,389.65,389.81,389.24,389.82,391.9575,394.265,0.039,-0.007,-2.13,-32.65,-37.31,3.01,-2,-6.7225,-0.647,-0.121,-0.104,32.87,5.56,181.9625,272.32,-22.0925,64.725,3.985,69.42,-9.345,37.42,0.879,-9.55,35.62,0.898,-9.575,42.04,0.773,2.5375,0.4195,-7.525,-7.4225,-7.2675,-2.305,-0.738
1,16.75,393.9125,393.9925,394.59,394.65,394.1825,394.825,396.5225,398.51,0.026,-0.008,-2.1875,-55.8975,-62.985,1.625,-1.9925,-5.77,-0.7605,-0.06,-0.105,6.04,1.98,182.575,269.6925,-67.385,17.3925,0.988,69.41,-9.5975,38.52,0.82,-10.08,37.66,0.822,-9.9,44.435,0.714,2.38,0.375,-7.9175,-7.625,-7.475,-2.3075,-0.736
1,17.25,389.3725,389.4525,389.85,390.09,389.6825,390.565,392.39,394.4775,0.044,-0.063,-2.15,-67.1325,-76.555,0.872,-1.9925,-4.84,-0.748,-0.06,-0.115,-1.565,0.66875,183.07,267.8,-80,0.6905,-0.00375,69.4,-9.81,39.295,0.783,-10.3925,39.02,0.76825,-10.24,45.62,0.679,2.43,0.34625,-8.09,-7.8575,-7.65,-2.3375,-0.731
1,17.75,393.9975,394.215,394.56,394.645,394.3875,394.8225,396.74,398.52,0.04925,-0.093,-2.12,-71.12,-80.4,0.11075,-1.99,-3.855,-0.73475,-0.21025,-0.099,-2.81,0.51425,182.65,267.04,-81.73,0,-0.18175,69.4,-9.9575,38.96,0.75375,-10.6875,40.09,0.7225,-10.54,46.87,0.649,2.43,0.335,-8.335,-8.0125,-7.78,-2.3375,-0.73
1,18.25,389.14,389.32,389.9,390.22,389.51,390.34,392.2525,394.53,0.07425,-0.10375,-2.11,-71.9725,-80.4025,1.1375,-1.9825,-3.425,-0.75125,-0.24025,-0.086,-2.7325,0.508,182.48,266.52,-79.84,-0.0045,-0.18,69.42,-10.1275,39.21,0.74,-10.8025,40.9125,0.699,-10.67,47.9525,0.63,2.46,0.305,-8.455,-8.1825,-7.925,-2.335,-0.731
1,18.75,393.8825,394.125,394.6025,394.72,394.32,394.775,396.735,398.4275,0.07125,-0.111,-2.1,-77.93,-81.135,0.45275,-1.98,-3.165,-0.7735,-0.015,-0.091,-2.7525,0.5005,181.86,266.25,-79.555,-0.002,-0.188,69.43,-10.2475,39.33,0.7055,-10.955,41.4875,0.679,-10.73,49.34,0.592,2.44,0.299,-8.7225,-8.5425,-8.1325,-2.33,-0.732
1,19.25,389.15,389.31,389.83,390.045,389.43,390.39,392.3275,394.705,0.06275,-0.07625,-2.1475,-76.035,-82.615,-0.0485,-1.98,-3.26,-0.7655,0,-0.099,-2.7825,0.527,181.64,265.9,-79.32,-0.003,-0.189,69.43,-10.415,39.855,0.7075,-11.135,42.89,0.66,-10.96,49.955,0.592,2.51,0.31475,-8.8875,-8.8625,-8.37,-2.3175,-0.73
1,19.75,393.835,394.16,394.7225,394.805,394.09,394.685,396.7925,398.17,0.05125,-0.106,-2.24,-75.6675,-84.07,0.558,-1.9825,-3,-0.75,-0.01325,-0.097,-2.7825,0.5155,181.57,265.26,-79.55,-0.003,-0.2145,69.42,-10.44,39.6975,0.6985,-11.255,43.025,0.645,-11.2,50.645,0.5825,2.6275,0.32375,-9.0875,-9.0875,-8.6725,-2.3175,-0.728
1,20.25,389.04,389.2775,389.84,390.09,389.4575,390.475,392.88,394.7525,0.055,-0.095,-2.1,-80.4125,-84.15,0.3855,-1.9825,-2.625,-0.73925,-0.072,-0.097,-2.7,0.49175,183.36,265.17,-79.68,-0.003,-0.217,69.42,-10.4075,39.78,0.705,-11.365,42.91,0.635,-11.24,51.0425,0.56775,2.6,0.309,-9.1525,-9.355,-8.7375,-2.3525,-0.728
1,20.75,393.9875,394.1475,394.77,394.88,394.4475,394.845,396.94,398.5625,0.0665,-0.08575,-2.17,-82.13,-84.15,0.51625,-1.98,-2.56,-0.76275,-0.108,-0.102,-2.7,0.476,182.08,264.91,-79.805,-0.003,-0.218,69.42,-10.4575,39.09,0.699,-11.3275,43.4275,0.612,-11.3325,51.07,0.54025,2.7175,0.3295,-9.32,-9.4425,-8.8725,-2.33,-0.73
1,21.25,388.97,389.07,389.83,390.08,389.13,390.42,392.8075,394.61,0.05825,-0.12,-2.22,-78.385,-84.63,0.3355,-1.98,-2.63,-0.731,-0.075,-0.097,-2.73,0.469,180.4,265.04,-80.205,-0.003,-0.215,69.42,-10.485,39.26,0.707,-11.34,43.0925,0.62,-11.3575,50.8,0.5315,2.67,0.3205,-9.4925,-9.535,-9.065,-2.33,-0.73
1,21.75,394.02,394.275,394.88,394.9475,394.37,395.07,396.975,398.22,0.06175,-0.118,-2.1875,-79.23,-83.23,1.2425,-1.98,-2.73,-0.7715,0,-0.097,-2.7325,0.54,179.53,264.97,-80.28,-0.003,-0.2025,69.43,-10.5175,39.49,0.706,-11.5,43.465,0.618,-11.3825,51.835,0.544,2.74,0.354,-9.7,-9.7325,-9.355,-2.325,-0.727
1,22.25,388.865,388.955,389.8,389.87,389.3275,390.1425,392.11,394.2975,0.03775,-0.098,-2.12,-83.9625,-87.79,0.963,-1.98,-2.615,-0.806,-0.06,-0.079,-2.73,0.54,178.62,264.89,-80.17,-0.003,-0.211,69.43,-10.45,39.12,0.701,-11.47,43.38,0.621,-11.43,50.65,0.533,2.84,0.359,-9.835,-9.915,-9.555,-2.325,-0.73
1,22.75,394.1,394.265,394.875,394.965,394.36,394.76,396.8525,398.52,0.03325,-0.10775,-2.175,-79.77,-87.2,0.66675,-1.98,-2.66,-0.809,-0.06025,-0.097,-2.7025,0.54,178.57,264,-79.96,-0.003,-0.19675,69.42,-10.62,39.3575,0.7085,-11.6,43.69,0.617,-11.765,49.9825,0.542,2.8375,0.336,-10.0225,-10.0325,-9.61,-2.31,-0.728
1,23.25,389.0125,389.1525,389.88,390.01,389.365,390.0925,392,394.335,0.044,-0.09,-2.3375,-80.315,-88.28,0.535,-1.98,-2.6075,-0.69,-0.06025,-0.088,-2.7,0.49175,179.19,264.15,-80.2,-0.003,-0.207,69.4275,-10.595,39.525,0.7,-11.76,43.3,0.611,-11.8225,50.075,0.53275,2.9875,0.3455,-10.15,-10.105,-9.7125,-2.3,-0.727
1,23.75,394.0075,394.21,394.74,395.05,394.405,394.86,396.81,398.62,0.03925,-0.151,-2.26,-80.82,-88.38,1.545,-1.98,-2.7075,-0.6575,-0.015,-0.087,-2.7,0.5045,179.13,264,-80,-0.004,-0.194,69.41,-10.53,39.89,0.71,-11.785,43.06,0.6265,-11.765,51.17,0.537,2.92,0.3545,-10.41,-10.2425,-9.8225,-2.2925,-0.727
2,0.25,389.4425,389.5825,391.24,391.3925,389.785,390.64,394.11,397.2125,0.03,-0.105,-2.055,-83.7325,-86.47,0.20375,-1.64,-2.48,-0.734,0,-0.052,-2.645,0.367,180.295,262.275,-78.9275,-0.004,-0.17,69.28,-11.3,43.1725,0.629,-12.435,45.4325,0.495,-12.2975,50.96,0.438,2.6425,0.323,-10.77,-10.8075,-10.1325,-1.96,-0.697
2,0.75,395.38,395.685,397.835,398.0625,395.835,397.3625,399.65,400.355,0.046,-0.08725,-2.13,-81.09,-86.8575,0.6695,-1.64,-2.41,-0.75225,0,-0.051,-2.665,0.382,180.11,262.395,-78.52,-0.004,-0.154,69.29,-11.235,43.465,0.613,-12.405,45.12,0.49,-12.42,50.345,0.427,2.65,0.339,-10.8825,-10.8525,-10.28,-1.95,-0.698
2,1.25,389.2875,389.3925,390.83,391.1975,389.9075,390.6125,394.26,396.9825,0.0455,-0.088,-2.275,-80.6575,-86.76,0.781,-1.64,-2.13,-0.688,0,-0.052,-2.61,0.4125,180.515,261.75,-78.2675,-0.004,-0.162,69.27,-11.28,44.07,0.6215,-12.58,44.305,0.504,-12.48,50.465,0.415,2.76,0.35,-10.89,-10.9125,-10.3025,-1.95,-0.697
2,1.75,395.2,395.72,397.9825,398.1225,396.25,397.275,399.73,400.35,0.03,-0.13225,-2.42,-83.365,-89.72,0.583,-1.64,-2.12,-0.664,0,-0.052,-2.665,0.42,178.1,261.165,-78.2025,-0.005,-0.188,69.27,-11.34,44.235,0.63425,-12.6525,45.445,0.501,-12.4775,51.55,0.42675,2.7275,0.36,-11.005,-11.0725,-10.415,-1.95,-0.6965
2,2.25,389.27,389.5275,390.75,390.8975,389.985,390.55,393.525,396.7525,0.027,-0.09675,-2.44,-86.0775,-89.07,1.22,-1.64,-2.56,-0.6955,0,-0.049,-2.64,0.43,179.27,260.78,-78.8825,-0.00425,-0.177,69.26,-11.41,43.295,0.641,-12.6325,44.635,0.501,-12.565,51.1725,0.423,2.735,0.363,-11.1425,-11.2975,-10.6025,-1.9475,-0.6975
2,2.75,395.33,395.88,397.78,398.1075,396.195,396.8975,399.68,400.425,0.061,-0.11825,-2.4425,-85.155,-87.86,1.1975,-1.64,-2.38,-0.74525,0,-0.057,-2.6,0.4055,178.825,260.545,-79.015,-0.00625,-0.158,69.25,-11.43,43.2425,0.644,-12.6125,44.5225,0.509,-12.68,51.4075,0.42,2.685,0.364,-11.2975,-11.52,-10.7475,-1.9475,-0.69775
2,3.25,389.3375,389.52,390.575,390.81,389.98,390.4225,393.66,396.9925,0.04,-0.118,-2.3975,-86.81,-90.73,1.02,-1.64,-2.295,-0.7205,-0.06,-0.052,-2.6,0.3865,178.96,260.735,-79.355,-0.006,-0.152,69.24,-11.5225,42.4475,0.6335,-12.7,44.32,0.507,-12.74,51.735,0.429,2.735,0.37175,-11.56,-11.5975,-10.9525,-1.94,-0.698
2,3.75,395.2925,395.8025,397.91,398.0675,396.15,396.82,399.66,400.425,0.04475,-0.181,-2.625,-82.835,-88.47,0.858,-1.6325,-2.19,-0.661,-0.11925,-0.052,-2.61,0.416,178.135,260.32,-78.5625,-0.007,-0.143,69.215,-11.565,41.97,0.636,-12.81,43.9125,0.501,-12.7325,51.17,0.42525,2.72,0.37,-11.755,-11.75,-11.12,-1.94,-0.6995
2,4.25,389.505,389.745,390.855,391.21,390.08,390.65,394.1225,397.3425,0.043,-0.089,-2.575,-88.87,-91.83,0.784,-1.63,-2.18,-0.646,0,-0.052,-2.615,0.4125,178.01,260.52,-78.53,-0.006,-0.144,69.21,-11.62,42.52,0.634,-12.68,44.3075,0.495,-12.7775,50.81,0.42225,2.765,0.37925,-11.905,-11.665,-11.23,-1.945,-0.6965
2,4.75,395.38,395.69,397.7125,397.94,396.11,396.8825,399.83,400.295,0.0445,-0.095,-2.6525,-86.2825,-91.82,0.728,-1.63,-2.3125,-0.67925,0,-0.051,-2.6,0.429,176.56,260.53,-80.1,-0.006,-0.163,69.22,-11.5875,42.4775,0.6475,-12.7425,44.7275,0.506,-12.8,51.105,0.43,2.7975,0.37525,-11.96,-12,-11.2225,-1.945,-0.69725
2,5.25,389.695,389.79,390.67,391.2625,390.0675,390.875,394.27,397.61,0.0185,-0.11625,-2.6625,-84.73,-89.1625,1.27,-1.63,-2.2675,-0.6655,0,-0.05025,-2.6,0.37375,175.3225,259.155,-80.1675,-0.005,-0.16775,69.215,-11.695,41.28,0.65075,-12.82,43.73,0.509,-12.91,51.46,0.418,2.81,0.386,-12.1175,-12.165,-11.29,-1.945,-0.6975
2,5.75,395.5375,396.0725,397.6025,397.86,396,396.8025,399.73,400.915,0.02925,-0.104,-2.615,-88.035,-92.48,0.9035,-1.63,-2.25,-0.62775,0,-0.052,-2.6275,0.36525,175.3875,259.4375,-80.865,-0.004,-0.17,69.23,-11.545,41.355,0.647,-12.85,43.07,0.49975,-12.91,51.5525,0.421,2.7225,0.3655,-12.2175,-12.2225,-11.3625,-1.9375,-0.698
2,6.25,389.66,389.935,390.9425,391.1875,390.1575,390.845,394.07,397.185,0.0525,-0.118,-2.525,-88.46,-93.8725,0.93325,-1.63,-2.09,-0.569,0,-0.049,-2.5575,0.40625,175.6025,259.6075,-80.835,0,-0.142,69.23,-11.625,42.1825,0.6245,-12.885,44.43,0.49575,-13,51.2525,0.415,2.72,0.35675,-12.29,-12.2525,-11.5425,-1.9375,-0.6985
