DOY2,HR2,USTAR,TA,WS,FC,H,LE,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
1,21.25,0.11419,-18.61,1.66,0.08,-10.5409,-0.0207,71.61,89.4,-26.6,0,0,0.3729565,0,-4.274,-3.231,-8.64,-7.349,-6.314,-8.26,-5.343,-7.429,397.5
1,21.75,0.1196465225,-18.85,1.656,0.088,-10.2465,0.03046,71.46,89.4,-27.925,0,0,0.323043,0,-4.232,-3.218,-8.635,-7.3565,-6.278,-8.25,-5.317,-7.445,399.7
1,22.25,0.1169293085,-18.8,1.632,0.0674,-8.6041,0.0469,71.74,89.4,-26.64,0,0,0.323219,0,-4.165,-3.195,-8.605,-7.337,-6.314,-8.24,-5.306,-7.499,399.7
1,22.75,0.112739,-18.33,1.747,0.05,-6.78253,0.0458,71.4,89.4,-26.095,0,0,0.317269,0,-4.16,-3.146,-8.62,-7.3215,-6.311,-8.24,-5.303,-7.446,399.65
1,23.25,0.11614,-18.43,1.728,0.0645,-9.5821437255,0.131538147,71.4,89.4,-26.655,0,0,0.3165435,0,-4.127,-3.139,-8.645,-7.286,-6.279,-8.24,-5.2955,-7.4875,398.4
1,23.75,0.11562,-18.57,1.669,0.060447385,-9.432538979,0.1197735,71.5,89.4,-26.015,0,0,0.321268,0,-4.098,-3.154,-8.655,-7.274,-6.257,-8.24,-5.332,-7.5075,398.45
2,0.25,0.10724,-17.975,2.043,0.05,-7.611068353,0.0103,71.04,89.4,-28.44,0,0,0.3122195,0,-5.159,-3.875,-7.2975,-6.10575,-5.478,-7.129,-4.7305,-6.4395,399.8
2,0.75,0.110855312,-17.915,2.075,0.06685,-7.28405,-0.0323,70.96,89.5,-29.1,0,0,0.3240795,0,-5.155,-3.837,-7.2405,-6.06075,-5.4775,-7.052,-4.63925,-6.407,399.95
2,1.25,0.111806033,-17.715,2.0995,0.0468,-9.879403681,-0.00562,70.775,89.5,-29.495,0,0,0.357341,0,-5.167,-3.826,-7.298,-6.151,-5.557,-7.199,-4.7265,-6.54,399.95
2,1.75,0.107439587,-17.97,1.984,0.0602,-8.2803,0.029689156,71.045,89.5,-28.81,0,0,0.3843785,0,-5.175,-3.868,-7.3245,-6.239,-5.5835,-7.274,-4.781,-6.574,400.05
2,2.25,0.107596539,-18.185,2.003,0.0556,-7.57337,-0.00323,71.03,89.4,-29.25,0,0,0.303445,0,-5.14,-3.843,-7.30775,-6.2505,-5.551,-7.314,-4.795,-6.588,400.4
2,2.75,0.1011475,-18.17,2.102,0.05,-8.391735,0.00862,70.74,89.4,-29.045,0,0,0.3565545,0,-5.123,-3.793,-7.3165,-6.29075,-5.5335,-7.3755,-4.815,-6.594,399.9
2,3.25,0.1018040275,-17.795,1.974,0.04325,-6.558655,-0.02214,70.94,89.4,-29.745,0,0,0.359498,0,-5.137,-3.817,-7.29925,-6.29725,-5.5535,-7.407,-4.833,-6.56,400.1
2,3.75,0.101130275,-17.46,2.2815,0.0404,-8.549667552,-0.00267,71.195,89.5,-29.92,0,0,0.361606,0,-5.172,-3.829,-7.3135,-6.2705,-5.53,-7.379,-4.85175,-6.577,399.95
2,4.25,0.103505671,-17.76,2.0005,0.03645,-8.8019,-0.0302,71.31,89.4,-29.25,0,0,0.267557,0,-5.18,-3.805,-7.53625,-6.237,-5.5635,-7.363,-4.844,-6.485,399.6
2,4.75,0.1051,-17.825,2.1235,0.05025,-9.31475,-0.00077,71.47,89.4,-28.995,0,0,0.383468,0,-5.207,-3.863,-7.53,-6.242,-5.5635,-7.347,-4.8845,-6.468,399.8
2,5.25,0.104502247,-17.685,2.1155,0.05,-8.00935,0.00902,71.32,89.4,-28.465,0,0,0.385179,0,-5.13,-3.926,-7.525,-6.2635,-5.5485,-7.3545,-4.8685,-6.432,399.3
2,5.75,0.108216656,-17.785,2.0565,0.0401,-9.352305,0.080642183,71.235,89.4,-27.13,0,0,0.379662,0,-5.223,-3.987,-7.5165,-6.3105,-5.5485,-7.321,-4.873,-6.4085,399.4
2,6.25,0.1051259105,-18.085,1.9795,0.0679,-9.6912,0.00854,71.07,89.4,-28.05,0,0,0.3953565,0,-5.235,-4,-7.492,-6.31825,-5.557,-7.3495,-4.8765,-6.408,399.65
2,6.75,0.09905,-17.875,2.126,0.05765,-9.72005,-0.0224,70.98,89.4,-29.64,0,0,0.391165,0,-5.234,-4.039,-7.4865,-6.34175,-5.547,-7.3465,-4.8785,-6.4155,399.8
