DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,17.25,0.12,0.513,2.2565,0.1465,0.1245,0.014,-11.609,-0.926,0.52,-0.0695,-5.155,0.354,0.886,47.36,77.01,383.039,3.04,-80.6,39.1525,13.83,32.865,11.79,199.15,288.25,3.888,37.815
1,17.75,0.104,-0.435,2.075,0.1815,0.16,0.0215,-13.796,-1.405,0.149,-0.021,-5.1685,0.3425,0.882,51.46,77.01,383.8105,2.61,-79.87,1.526,-0.3955,0,2.0545,199.05,283.95,3.7315,2.017
1,18.25,0.092,-1.475,2.302,0.212,0.179,0.03,-16.7325,-1.119,0.128,-0.075,-5.19,0.34,0.8745,52.98,77.03,384.183,2.35,-78.48,0,-1.944,0,0.9015,198.25,280.05,3.682,0
1,18.75,0.11,-1.877,2.408,0.23,0.1955,0.0315,-19.115,-0.6575,-0.006,-0.14,-5.095,0.3305,0.884,56.68,77.04,384.1675,2.08,-79.16,0,-1.622,0,1.0525,198.35,278,3.631,0
1,19.25,0.138,-2.075,2.4735,0.174,0.157,0.025,-20.696,-0.472,0.138,-0.089,-5.2365,0.327,0.869,56.57,77.04,384.9765,2.05,-80.4,0,-1.674,0,1.069,195.65,278.25,3.431,0
1,19.75,0.1255,-2.0725,2.446,0.209,0.191,0.025,-23.3695,-0.3575,0.205,-0.051,-5.3015,0.3255,0.863,56.57,77.0255,385.127,2.09,-78.17,0,-1.626,0,1.045,193.9,278.3,3.466,0
1,20.25,0.114,-2.559,2.466,0.201,0.1805,0.022,-23.832,-0.4545,0.186,-0.102,-5.3305,0.277,0.844,57.175,77.0205,385.158,1.905,-78.945,0,-1.588,0,1.0255,193,276.5,3.334,0
1,20.75,0.1445,-2.646,2.523,0.181,0.1995,0.015,-24.729,-0.403,0.091,-0.0885,-5.3885,0.2765,0.831,57.085,77.0205,385.5165,1.9,-75.81,0,-1.4515,0,1.045,194.95,273.85,3.314,0
1,21.25,0.131,-2.699,2.498,0.218,0.2005,0.017,-22.331,-0.3035,0.1225,-0.096,-5.381,0.2755,0.832,57.605,77.0205,385.542,1.885,-74.56,0,-1.355,0,0.977,195.4,275.45,3.312,0
1,21.75,0.1195,-2.8625,2.501,0.22,0.2015,0.018,-22.0075,-0.3975,0.11,0.01,-5.3245,0.2745,0.8325,57.54,77.02,386.1315,1.96,-75.315,0,-1.3785,0,0.8665,194.25,275.1,3.3135,0
