DOY2,HR2,CH4,FCH4,SCH4,CO2,CO2_SIGMA,FC,SC,H2O,H,SH,LE,SLE,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,VPD,SW_IN,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,6.25,4063.130081,708.749038100001,11.3737499999999,602.712836249999,0.149966827975,8.38951004312498,1.9809797525,26.1332160975,19.273871095,1.511263174075,72.8240104019999,7.25289935630002,102.5076252075,100,20.694150305,25.967317345,1.43985729755,9.1120466615,0.5285,-0.000378825,1.1670110587,1.1878363127,1.1670110587,0.6776460282,1.6908741949
1,6.75,4313.68597645,737.59324955,14.925,616.581421089999,0.271952052825,10.9136372475999,1.59485327985,26.2267256975,13.676353752,0.8188064709,87.003493225,6.33729101709999,102.53573607,100,20.82089759,25.8011146,1.116529418875,11.1150990975,0.271625,-0.000406800000000001,0.6335242575,0.415070654899999,0.6335242575,0.5415774011,1.4727149209
1,7.25,3343.879904,418.525813049998,11.88,709.879785600001,0.218898325375,32.145868686,4.32459104297497,28.086749606,60.0288146139999,2.04274389835,383.093511134998,5.92418089574999,102.5606714125,100,20.2921316625,25.575073775,2.08060284615,12.2215593505999,6.735625,-0.0002675,1.00668943575,0.64007659825,1.00668943575,0.629764386625,1.58061292275
1,7.75,7417.051178375,212.790630449999,50.3777086000005,602.124143325,0.18369890925,25.278365603,2.088353267,28.0285651525,49.42673869825,4.94587305145,85.708206237,11.9429756645,102.58731686,100,22.263346785,26.480007785,1.959275734,7.8219484662,69.9125,-0.000563550000000001,0.902722682399999,0.809697242599998,0.902722682399999,0.7964360451,1.8966801102
1,8.25,4697.756831375,1538.64530375,32.275,557.9574123,0.15886515625,28.41761504125,1.92674098827499,28.610684285,65.09360308,5.771574276325,98.3156390485,8.828749133,102.61458184,100,22.6432377375,27.72503685,1.3700680342,8.99301766639999,164.25,-0.001795,0.6199412245,0.3596040955,0.6199412245,0.51178643675,1.834085844875
1,8.75,4500.408845,501.80790065,19.445,593.9247182025,0.511640586200001,16.94061875,6.07800546775,26.6170908785,108.06640373,3.838444036,196.4530019625,7.49214403835,102.6562930225,100,23.29278554,27.07538098,1.5384172367,8.03360535267499,258.9125,-0.003722,0.690413494,0.3822037114,0.690413494,0.5912890494,1.9147621898
1,9.25,3831.06371465,202.31502215,18.2874999999999,487.7855393,0.18986362165,10.20060787125,0.811317765974997,27.30548619875,129.43823545,4.300268550625,135.8966257875,7.76684770605,102.6620157,100,24.22753132,26.8547697,1.20271607245,8.802260576,362.55,-0.003548,0.7559357288,0.3982918464,0.7559357288,0.7425977134,2.1822322456
1,9.75,2480.04984625,123.895016,8.90900000000001,460.76291275,0.0628644,7.45570665469999,1.36180791175,27.6391427175,185.95619344,3.618082524025,137.968951515,15.401484416,102.6580567,100,25.78756356,27.75895268,1.5496176478,8.17139485474999,461.5375,-0.005748,0.6769492886,0.3698577816,0.6769492886,0.5721580958,2.2610247254
1,10.25,2380.999375975,172.685979275,12.06375,478.969124005,0.0669672185,7.73175010775,1.40849342075,27.478691335,196.56499428,3.539798899925,145.93111185,9.31010221825,102.6451225125,100,25.8052789725,27.520409565,1.08365643445,10.302569418375,537.425,-0.00831149999999999,0.777415216275,0.447793840275,0.777415216275,0.73369743125,2.048763564025
1,10.75,2397.3080986,138.49877385,16.81425,448.766212285,0.0335618215,-0.0313800000000003,0.072075,27.86489507125,223.14934121,3.0909938644,164.6604881875,9.47228127539998,102.62071065,100,27.299911565,27.819642055,1.14104500565,10.96675346125,606.525,-0.007348,0.738963385125,0.437860180175,0.738963385125,0.645935475625,2.1796479929
