DOY2,HR2,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS,G
3,11.25,101.2575,74.345,-24.895,-70.8,206.65,260.15,117.1,128.65,143.15,186.4,-25.455,-10.086375
3,11.75,101.26465,73.95,-24.605,-36.3,218.8,292.7,156.6,146.45,143.7,190,-24.965,-10.05175
3,12.25,101.25915,73.575,-24.13,-31.35,216.1,342.25,180.4,180.25,143.1,193.2,-24.215,-9.94325
3,12.75,101.26335,73.105,-23.445,-25.35,273.6,337.95,197.4,170.95,144.8,194.15,-23.85,-9.82625
3,13.25,101.2708,73.435,-23.28,-20.65,291.9,368.85,210.85,188,144.65,196.15,-23.49,-9.64675
3,13.75,101.28395,72.985,-23.3,-18.2,298.2,375.65,216.95,192.7,144.6,197.55,-23.115,-9.389375
3,14.25,101.2932,72.66,-22.78,-13.25,294.1,368.25,212.3,182.75,146.05,198.4,-22.59,-9.246375
3,14.75,101.263375,72.61,-22.4825,-9.175,291.5,336.775,199.775,168.725,146.7,198.975,-22.47,-9.185875
3,15.25,101.25465,72.7,-22.965,-5.85,269.75,322.5,189.4,157.05,146.25,198.1,-22.795,-9.148
3,15.75,101.2384,72.935,-22.955,-5.8,239.5,269.85,166.65,135.75,145.7,197.95,-22.7,-9.076875
3,16.25,101.222,73.1,-22.925,-3.25,203.65,228.05,148,117.2,146.15,196.8,-22.875,-8.983125
3,16.75,101.196275,74.425,-23.405,-7.75,172.325,172.875,114.375,89.425,145.4,195.075,-23.16,-8.9586875
3,17.25,101.176325,75.285,-23.4225,-11.285,120,114.825,84.525,60.18,144.85,192.525,-23.8275,-8.7583125
3,17.75,101.1573,76.185,-23.5275,-18,74.6925,74.87,52.4075,36.6375,145.5,189.9,-24.495,-8.6006875
3,18.25,101.142475,77.0175,-24.1325,-23.84875,42.4925,44.765,25.3775,16.8125,144.95,187.95,-25.41,-8.559625
3,18.75,101.12305,77.93,-25.2625,-28.12575,13.7,18.2475,4.39175,2.676,144.025,185.025,-26.1775,-8.594
3,19.25,101.10145,78.7475,-25.505,-34.392,6.809,3.9195,-4.4005,-3.47775,143.2,181.75,-26.605,-8.70975
3,19.75,101.0915,79.0325,-26.085,-36.827,0.125,0,-6.41375,-5.13275,143.025,180.05,-28.095,-8.857875
3,20.25,101.079075,79.0875,-25.8925,-39.22,0,0,-7.46225,-5.85625,141.975,179.125,-28.0875,-9.06575
3,20.75,101.07745,78.8425,-26.07,-38.60975,0,0,-7.775,-6.168,142.225,177.125,-28.445,-9.272625
3,21.25,101.07855,78.85,-26.4275,-39.4465,0,0,-7.80375,-6.25475,143.225,176.625,-28.505,-9.484125
3,21.75,101.041975,78.9725,-26.265,-38.792,0,0,-8.111,-6.69375,142.725,177.5,-28.57,-9.4886875
3,22.25,101.01195,78.935,-26.4075,-38.525,0,0,-8.22,-6.58225,142.6,175.125,-28.82,-9.433625
3,22.75,100.999375,78.8275,-26.585,-37.8765,0,0,-8.2375,-6.9775,143.125,173.125,-29.05,-9.38625
3,23.25,100.990525,78.19,-26.6075,-40.05925,0,0,-8.2575,-6.96325,143.925,173.35,-29.4975,-9.3995
3,23.75,101.0039,78.3675,-27.11,-39.3865,0,0,-8.42,-6.834,144.95,175.325,-29.365,-9.5205
4,0.25,101.295275,81.65,-19.7175,-42.895,0,0,-7.49475,-5.8345,170,211.025,-20.1825,-2.1988125
4,0.75,101.292925,81.55,-19.76,-40.28475,0,0,-7.4795,-5.915,169.425,211.1,-20.1275,-2.1988125
4,1.25,101.27845,81.25,-19.72,-39.97225,0,0,-7.44325,-5.75875,169.2,211.675,-20.2275,-2.1720625
4,1.75,101.277,81.275,-19.8575,-39.9235,0,0,-7.34925,-5.764,168.925,211.7,-20.405,-2.136375
4,2.25,101.28495,81,-19.965,-40.18375,0,0,-7.12975,-5.65625,168.3,209.775,-20.865,-2.09677083333333
4,2.75,101.263675,81,-20.1725,-40.44725,0,0,-7.1405,-5.782,168.95,207.725,-20.98,-2.059875
4,3.25,101.2415,80.975,-20.0325,-42.7795,0,0,-7.17525,-5.786,168.05,208.075,-21.4825,-2.18825
4,3.75,101.24535,80.9,-20.77,-42.9755,0.01,0.196,-7.1535,-5.691,165.2,205.5,-21.715,-2.344
4,4.25,101.2448,80.6,-20.34,-40.8725,0.9475,4.5775,-6.9035,-5.4145,166.6,205.65,-21.295,-2.54325
4,4.75,101.23915,80.6,-20.55,-37.1565,1.647,6.7255,-6.4,-5.1735,166.25,205.25,-21.375,-2.715125
4,5.25,101.23055,80.6,-20.78,-35.84,5.7795,6.736,-4.912,-4.511,165.75,204.45,-21.48,-2.795125
4,5.75,101.2219,80.45,-20.625,-29.8565,8.159,11.56,-3.0045,-1.647,165.9,204.9,-21.24,-2.863
4,6.25,101.21715,79.805,-20.38,-27.2185,25.585,25.565,6.0305,6.7505,165.1,205.6,-20.74,-2.92275
4,6.75,101.20765,79.67,-20.55,-26.035,59.06,56.065,26.765,26.265,165,207.7,-20.45,-3.0105
4,7.25,101.20105,79.145,-20.34,-27.335,106.3,99.1,57.3,53.135,164.45,208.2,-20.19,-3.077
4,7.75,101.20435,78.615,-19.925,-24,174.35,161.55,92,82.5,163.45,210.8,-19.51,-2.917
4,8.25,101.2049,78.035,-19.45,-17.3,238.65,232.95,129.25,117.05,161.9,213.8,-18.555,-3.154625
4,8.75,101.1962,77.335,-19.055,-11.575,308.45,297.7,165.25,146.1,163,217.25,-17.77,-3.1025
4,9.25,101.20235,76.38,-18.6775,-4.6,368,370.625,200.95,179.175,164.275,220.55,-17.8125,-3.0465
4,9.75,101.201675,75.7425,-17.9825,0.775,460.8,445.65,241.875,210.6,164.875,221.775,-17.975,-2.9845
4,10.25,101.2024,75.535,-17.55,8.025,526.4,519.85,277.125,243.35,167.825,224.475,-17.3625,-3.0445625
4,10.75,101.204625,74.835,-17.02,8.625,579.5,586.45,313.05,274.45,165.2,227.05,-16.7575,-3.14875
4,11.25,101.185725,73.875,-16.61,8.525,650.15,644.9,345.175,304.8,168.25,230.175,-15.9725,-3.1689375
4,11.75,101.178,72.94,-16.01,17.5,707.3,686.5,373.6,325.7,168.5,232.2,-15.52,-3.1275
4,12.25,101.19885,72.2875,-15.9625,22.725,727.15,725.55,396.925,340.425,171.6,230.875,-15.505,-3.007375
4,12.75,101.196775,72.44,-15.785,26.275,805,753.35,410.475,352.475,174.45,231.65,-15.2775,-2.93152083333333
4,13.25,101.1904,73.6075,-15.5775,26.85,841.5,766.45,416.525,357.75,173.35,232.2,-15.11,-2.83108333333333
4,13.75,101.1993,73.13,-15.52,18.6,840,770.7,425.8,357.7,172.1,233.6,-14.86,-2.755
4,14.25,101.2354,72.855,-15.42,14.9,814,746.1,415.75,352.9,174.2,234.6,-14.875,-2.64329166666667
4,14.75,101.1648,73.765,-15.2,16.35,781.65,729.6,400.35,340.35,173.8,234.5,-14.765,-2.24633333333334
4,15.25,101.1464,73.68,-14.97,21.3,736.6,677.9,374.8,314.5,176.4,235,-14.48,-2.26375
4,15.75,101.1652,73.08,-14.9125,23.025,698.225,634.725,364.275,302.525,176.9,234.95,-14.2875,-2.108625
4,16.25,101.178125,73.4575,-14.9925,22.7,645.875,586.7,331.725,281.75,178.3,235.15,-14.415,-2.2739375
4,16.75,101.18145,74.16,-15.035,22.25,574.775,528.5,288.05,244.2,178.075,234.775,-14.475,-2.1759375
4,17.25,101.2142,74.82,-15.01,19.2,510.7,456,252.8,210.4,176.8,233.9,-14.73,-2.096
4,17.75,101.216775,74.95,-15.245,16.3,420.55,373,221.3,182.075,175.525,233.45,-14.6225,-2.00364583333333
4,18.25,101.237975,75.13,-15.52,8.8,335.5,296.075,171.875,139.85,176.2,232.85,-14.6875,-1.90666666666667
4,18.75,101.2346,76.18,-15.69,4.1,250.7,220.8,134.5,108.4,176.1,232,-15.36,-1.811
4,19.25,101.2204,77.15,-15.83,-3.44,182.4,155.9,104.3,82.5,174.8,230.7,-15.39,-1.72625
4,19.75,101.2159,78.44,-15.93,-14.99,108,98.2,68.09,49.27,172.9,229.1,-15.65,-1.64375
4,20.25,101.209,78.93,-16.24,-22.54,63.11,58.47,38.67,24.41,173,227.7,-16.47,-1.56775
4,20.75,101.2273,80.7,-16.85,-32.87,26.44,29.94,13.77,8.61,174.2,224.8,-16.7,-1.4945
4,21.25,101.278825,80.95,-17.07,-37.335,9.4825,12.3675,-1.884,-1.8075,170.85,221.2,-17.335,-1.62725
4,21.75,101.276875,81.85,-17.34,-45.38175,6.8675,6.7345,-5.749,-4.148,169.55,217.25,-17.935,-1.621
4,22.25,101.276875,82.075,-17.42,-44.70075,1.8885,6.7255,-6.69925,-5.00775,168.95,216.175,-18.51,-1.7348125
4,22.75,101.272425,82.425,-17.53,-44.272,0.50425,3.823,-6.871,-5.32875,168.225,213.8,-18.865,-1.7625
4,23.25,101.27215,82.025,-18.3325,-43.96525,0.025,0.04525,-7.01525,-5.662,166.775,213.825,-19.14,-1.751625
4,23.75,101.2699,81.825,-18.8675,-43.65775,0,0,-7.22675,-5.78725,168.6,214.175,-19.6,-1.7520625
5,0.25,101.26105,90.25,-7.0245,-14.075,14.125,13.44,1.912,1.3075,255.2,270.25,-6.8275,1.91566666666667
5,0.75,101.25965,90.35,-7.08,-14.856,13.465,11.585,1.0825,0.6175,254.4,270.2,-6.879,1.936125
5,1.25,101.23805,90.3,-7.096,-12.5965,11.765,8.06945580685445,0.5645,0.508,256.1,269.5,-7.082,1.969125
