DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1
1,18.25,0.3525009265,2.081,2.72983,0.946636778,0.95206625,0.048744444,-7.090685,11.9373,0.0729602565,-2.28279733075,0.48625,0.28775,0.23525,84.45190898,86.3323,413.11248,-16.188,1.159,0,0.8639635,295.65,317.375675,6.39200743225,0.0156501,1.0287219975,0.9121634025,0.4034445465,1.77425,0.579223618,-0.15,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.9,8.4
1,18.75,0.3708705,1.93425,2.56907,0.93203866675,0.946259,0.03240138875,-7.4976825,11.4729,0.0937825845,-1.1845331895,0.43275,0.2655,0.222,85.2730277975,86.3379,412.977634775,-17.026,0.659,0,0.8730495,293.225,317.1,6.285477882,0.0219808,1.040212094,0.9304175105,0.4046689475,1.5575,0.597827729,-0.1375,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.925,8.4
1,19.25,0.36602,1.98175,2.59058,1.011371889,1.01022,0.028358333,-8.339225,12.506075,0.11075975125,-1.346237587,0.3845,0.2415,0.2,85.4912427925,86.3382,412.3443825,-18.367,0.652,0,0.94275,293.7,316.575,6.34862825,0.0167281,1.10851346275,0.95128749275,0.39485462325,1.7335,0.6160175025,-0.15,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.95,8.4
1,19.75,0.3796395,2.03375,2.8671,1.009972222,1.01648,0.0283583335,-9.913755,13.34395,0.11482652,-0.83914568,0.3515,0.21275,0.18925,84.995936845,86.3208,412.444723325,-16.101,0.668,0,0.936,294.575,316.5,6.3183529595,0.0186429,1.211779683,0.969808744,0.419036991,1.80525,0.58411547225,-0.15,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.925,8.4
1,20.25,0.367142,2.1445,2.90846,1.057605556,1.05521,0.02576736125,-10.206775,14.73327195,0.097503388,-0.699333333,0.361,0.2245,0.182,84.8726873325,86.335175,412.384299025,-16.609,0.657,0,0.9309955,291.85,316.325,6.305130317,0.0188458,1.125449384,0.9805952595,0.45440319125,1.74925,0.6273962535,-0.15,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.925,8.4
1,20.75,0.382321,1.9465,2.76663,0.948427417,0.931089,0.0272763885,-10.9129,12.757675,0.09539808,-0.540128242,0.3755,0.19875,0.18125,84.598732645,86.34215,412.3314,-14.883,0.685,0,0.90223575,293.975,316.675,6.349209689,0.02548795,1.10751243825,0.915656207,0.426672445,1.8025,0.622176313,-0.15,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.925,8.4
1,21.25,0.371853,1.886,2.604165,0.9120232775,0.935821,0.023233333,-11.13025,12.3122,0.128931754,-0.90097360125,0.391,0.1845,0.166,83.70709323,86.3405,412.41520515,-16.329,0.66325,0,0.972,293,316.4,6.367333157,0.02243215,1.109960378,0.958788131,0.424286948,1.869798,0.66891255,-0.15,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.925,8.375
1,21.75,0.365203,1.696,2.746925,0.984524333,0.978785,0.029297917,-10.29145,11.9243,0.0965782375,-0.3210645905,0.3835,0.174,0.1405,83.55035759,86.351305,412.4071957,-15.067,0.71325,0,0.95,293.5,316.3,6.286733054,0.0212407,1.063019285,0.870381526,0.41349607,1.588,0.6515683845,-0.15,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.9,8.375
1,22.25,0.3506865,1.763,2.6591875,1.00988691675,1.0115125,0.0415694445,-10.59955,11.6492,0.12234384525,-0.6842077235,0.371,0.1595,0.14375,84.0264849325,86.35755,412.442483725,-15.48236275,0.726,0,0.93092625,291.29525,316.1,6.26302388275,0.0192061,1.068494268,0.9827431,0.392717456,1.401,0.6411625595,-0.15,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.9,8.35
1,22.75,0.34151175,1.59,2.484585,0.9500422225,0.95071425,0.03564722225,-12.6634,10.9074,0.0875785185,-0.068574768,0.36825,0.169,0.14075,83.99898529,86.3662,412.4243425,-15.073,0.699,0,0.97670025,291.8682,315.525,6.288124615,0.017295275,1.06722185475,0.8918866885,0.38278414175,1.3725,0.653750933,-0.15,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.925,8.4
